annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label	result
Adaptive / Maladaptive / Repairing Fibroblast	CL:1000692	kidney interstitial fibroblast	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'Adaptive / Maladaptive / Repairing Fibroblast', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000057	fibroblast	FALSE
C-IC-A	CL:1001432	kidney collecting duct intercalated cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'C-IC-A', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0005011	renal alpha-intercalated cell	FALSE
CNT-IC-A	CL:1001432	kidney collecting duct intercalated cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'CNT-IC-A', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:4030020	kidney connecting tubule alpha-intercalated cell	FALSE
Connecting Tubule Intercalated Cell Type A	CL:1001432	kidney collecting duct intercalated cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'Connecting Tubule Intercalated Cell Type A', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:4030020	kidney connecting tubule alpha-intercalated cell	FALSE
Cycling Myofibroblast	CL:1000692	kidney interstitial fibroblast	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'Cycling Myofibroblast', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000186	myofibroblast cell	FALSE
Degenerative Fibroblast	CL:1000692	kidney interstitial fibroblast	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'Degenerative Fibroblast', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000057	fibroblast	FALSE
Degenerative Inner Medullary Collecting Duct Cell	CL:1001431	kidney collecting duct principal cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'Degenerative Inner Medullary Collecting Duct Cell', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:1000547	kidney inner medulla collecting duct epithelial cell	FALSE
Degenerative Vascular Smooth Muscle Cell	CL:1001318	renal interstitial pericyte	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'Degenerative Vascular Smooth Muscle Cell', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000359	vascular associated smooth muscle cell	FALSE
FIB	CL:1000692	kidney interstitial fibroblast	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'FIB', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000057	fibroblast	FALSE
Fibroblast	CL:1000692	kidney interstitial fibroblast	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'Fibroblast', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000057	fibroblast	FALSE
IC	CL:1001432	kidney collecting duct intercalated cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'IC', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0005010	renal intercalated cell	FALSE
