annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label	result
Activated fibroblasts CCL19 ADAMADEC1	CL:0000057	fibroblast	DOI:10.1016/j.immuni.2023.01.002	0f4865d5-8000-4f68-8ac7-f5efea9e5e70_cxg_dataset_unique	{'name': 'Activated fibroblasts CCL19 ADAMADEC1', 'full_name': 'Fibroblasts', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000057	fibroblast	TRUE
Endothelial cells CA4 CD36	CL:0000115	endothelial cell	DOI:10.1016/j.immuni.2023.01.002	0f4865d5-8000-4f68-8ac7-f5efea9e5e70_cxg_dataset_unique	{'name': 'Endothelial cells CA4 CD36', 'full_name': 'Endothelial cells CA4+ CD36+', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000115	endothelial cell	TRUE
Endothelial cells CD36	CL:0000115	endothelial cell	DOI:10.1016/j.immuni.2023.01.002	0f4865d5-8000-4f68-8ac7-f5efea9e5e70_cxg_dataset_unique	{'name': 'Endothelial cells CD36', 'full_name': 'CD36+ endothelial cells', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000115	endothelial cell	TRUE
Endothelial cells DARC	CL:0000115	endothelial cell	DOI:10.1016/j.immuni.2023.01.002	0f4865d5-8000-4f68-8ac7-f5efea9e5e70_cxg_dataset_unique	{'name': 'Endothelial cells DARC', 'full_name': 'DARC/ACKR1+ endothelial cells', 'paper_synonyms': 'ACKR1; DARC/ACKR1', 'tissue_context': ''}	CL:0000115	endothelial cell	TRUE
Endothelial cells LTC4S SEMA3G	CL:0000115	endothelial cell	DOI:10.1016/j.immuni.2023.01.002	0f4865d5-8000-4f68-8ac7-f5efea9e5e70_cxg_dataset_unique	{'name': 'Endothelial cells LTC4S SEMA3G', 'full_name': 'Endothelial cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000115	endothelial cell	TRUE
Fibroblasts ADAMDEC1	CL:0000057	fibroblast	DOI:10.1016/j.immuni.2023.01.002	0f4865d5-8000-4f68-8ac7-f5efea9e5e70_cxg_dataset_unique	{'name': 'Fibroblasts ADAMDEC1', 'full_name': 'ADAMDEC1+ fibroblasts', 'paper_synonyms': 'ADAMDEC+ Fibroblast clusters', 'tissue_context': ''}	CL:0000057	fibroblast	TRUE
Fibroblasts KCNN3 LY6H	CL:0000057	fibroblast	DOI:10.1016/j.immuni.2023.01.002	0f4865d5-8000-4f68-8ac7-f5efea9e5e70_cxg_dataset_unique	{'name': 'Fibroblasts KCNN3 LY6H', 'full_name': 'Fibroblasts', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000057	fibroblast	TRUE
Fibroblasts NPY SLITRK6	CL:0000057	fibroblast	DOI:10.1016/j.immuni.2023.01.002	0f4865d5-8000-4f68-8ac7-f5efea9e5e70_cxg_dataset_unique	{'name': 'Fibroblasts NPY SLITRK6', 'full_name': 'Fibroblasts', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000057	fibroblast	TRUE
Fibroblasts SFRP2 SLPI	CL:0000057	fibroblast	DOI:10.1016/j.immuni.2023.01.002	0f4865d5-8000-4f68-8ac7-f5efea9e5e70_cxg_dataset_unique	{'name': 'Fibroblasts SFRP2 SLPI', 'full_name': 'Fibroblasts', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000057	fibroblast	TRUE
Fibroblasts SMOC2 PTGIS	CL:0000057	fibroblast	DOI:10.1016/j.immuni.2023.01.002	0f4865d5-8000-4f68-8ac7-f5efea9e5e70_cxg_dataset_unique	{'name': 'Fibroblasts SMOC2 PTGIS', 'full_name': 'SMOC2+ PTGIS+ fibroblasts', 'paper_synonyms': 'SMOC2+ PTGIS+ Fibroblast clusters', 'tissue_context': ''}	CL:0000057	fibroblast	TRUE
Glial cells	CL:0000125	glial cell	DOI:10.1016/j.immuni.2023.01.002	0f4865d5-8000-4f68-8ac7-f5efea9e5e70_cxg_dataset_unique	{'name': 'Glial cells', 'full_name': 'Glial cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000125	glial cell	TRUE
Lymphatics	CL:0000542	lymphocyte	DOI:10.1016/j.immuni.2023.01.002	0f4865d5-8000-4f68-8ac7-f5efea9e5e70_cxg_dataset_unique	{'name': 'Lymphatics', 'full_name': 'Lymphatics', 'paper_synonyms': 'lymphatic endothelial cells', 'tissue_context': ''}	CL:0002138	endothelial cell of lymphatic vessel	FALSE
Myofibroblasts GREM1 GREM2	CL:0000186	myofibroblast cell	DOI:10.1016/j.immuni.2023.01.002	0f4865d5-8000-4f68-8ac7-f5efea9e5e70_cxg_dataset_unique	{'name': 'Myofibroblasts GREM1 GREM2', 'full_name': 'GREM1+ GREM2+ myofibroblasts', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000186	myofibroblast cell	TRUE
Myofibroblasts HHIP NPNT	CL:0000186	myofibroblast cell	DOI:10.1016/j.immuni.2023.01.002	0f4865d5-8000-4f68-8ac7-f5efea9e5e70_cxg_dataset_unique	{'name': 'Myofibroblasts HHIP NPNT', 'full_name': 'HHIP+ NPNT+ myofibroblasts', 'paper_synonyms': 'Myofibroblasts HHIP+ NPNT+', 'tissue_context': ''}	CL:0000186	myofibroblast cell	TRUE
Pericytes HIGD1B STEAP4	CL:0000669	pericyte	DOI:10.1016/j.immuni.2023.01.002	0f4865d5-8000-4f68-8ac7-f5efea9e5e70_cxg_dataset_unique	{'name': 'Pericytes HIGD1B STEAP4', 'full_name': 'Pericytes', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000669	pericyte	TRUE
Pericytes RERGL NTRK2	CL:0000669	pericyte	DOI:10.1016/j.immuni.2023.01.002	0f4865d5-8000-4f68-8ac7-f5efea9e5e70_cxg_dataset_unique	{'name': 'Pericytes RERGL NTRK2', 'full_name': 'Pericytes', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000669	pericyte	TRUE
