annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label
AntiB	CL:0000786	plasma cell	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'AntiB', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000946	antibody secreting cell
C-Hepato	CL:0019029	centrilobular region hepatocyte	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'C-Hepato', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000182	hepatocyte
C-Hepato2	CL:0019029	centrilobular region hepatocyte	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'C-Hepato2', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000182	hepatocyte
CD4T	CL:0000624	CD4-positive, alpha-beta T cell	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'CD4T', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000624	CD4-positive, alpha-beta T cell
Chol	CL:0002538	intrahepatic cholangiocyte	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'Chol', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:1000488	cholangiocyte
Chol--Kupffer-Doublet	unknown	unknown	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'Chol--Kupffer-Doublet', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:1000488	cholangiocyte
Chol--Stellate-Doublet	unknown	unknown	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'Chol--Stellate-Doublet', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:1000488	cholangiocyte
Chol-Doublet	unknown	unknown	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'Chol-Doublet', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:1000488	cholangiocyte
CholMucus	CL:0002538	intrahepatic cholangiocyte	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'CholMucus', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:1000488	cholangiocyte
Fibroblast	CL:0000057	fibroblast	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'Fibroblast', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000057	fibroblast
Hepato-Doublet	unknown	unknown	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'Hepato-Doublet', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	NO MATCH found	
I-Hepato	CL:0019028	midzonal region hepatocyte	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'I-Hepato', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000182	hepatocyte
Kupffer	CL:0000091	Kupffer cell	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'Kupffer', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000091	Kupffer cell
Kupffer-Doublet	unknown	unknown	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'Kupffer-Doublet', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000091	Kupffer cell
Monocyte	CL:0000576	monocyte	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'Monocyte', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000576	monocyte
P-Hepato	CL:0019026	periportal region hepatocyte	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'P-Hepato', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000182	hepatocyte
