annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label
ACKR1+ endothelium	CL:0000115	endothelial cell	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'ACKR1+ endothelium', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000115	endothelial cell
B cells	CL:0000236	B cell	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'B cells', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000236	B cell
CD36+ endothelium	CL:0000115	endothelial cell	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'CD36+ endothelium', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000115	endothelial cell
Cycling	unknown	unknown	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Cycling', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found	
Doublets	unknown	unknown	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Doublets', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found	
Endothelium	CL:0000115	endothelial cell	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Endothelium', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000115	endothelial cell
Endothelium	CL:0002138	endothelial cell of lymphatic vessel	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Endothelium', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000115	endothelial cell
Enterocytes	CL:1000342	enterocyte of epithelium proper of ileum	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Enterocytes', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000584	enterocyte
Enteroendocrines	CL:0009006	enteroendocrine cell of small intestine	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Enteroendocrines', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000164	enteroendocrine cell
Fibs	CL:0000057	fibroblast	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Fibs', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000057	fibroblast
