annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label	result
37-	unknown	unknown	DOI:10.1016/j.cell.2020.08.013	7e7f63c5-d964-40be-83de-ecbcccafd233_cxg_dataset_unique	{'name': '37-', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	NO MATCH found		FALSE
38-	unknown	unknown	DOI:10.1016/j.cell.2020.08.013	7e7f63c5-d964-40be-83de-ecbcccafd233_cxg_dataset_unique	{'name': '38-', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	NO MATCH found		FALSE
5-	unknown	unknown	DOI:10.1016/j.cell.2020.08.013	7e7f63c5-d964-40be-83de-ecbcccafd233_cxg_dataset_unique	{'name': '5-', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
AC_B_01	CL:0000561	amacrine cell	DOI:10.1016/j.cell.2020.08.013	7e7f63c5-d964-40be-83de-ecbcccafd233_cxg_dataset_unique	{'name': 'AC_B_01', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	NO MATCH found		FALSE
AC_B_02	CL:0000561	amacrine cell	DOI:10.1016/j.cell.2020.08.013	7e7f63c5-d964-40be-83de-ecbcccafd233_cxg_dataset_unique	{'name': 'AC_B_02', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
AC_B_04	CL:0000561	amacrine cell	DOI:10.1016/j.cell.2020.08.013	7e7f63c5-d964-40be-83de-ecbcccafd233_cxg_dataset_unique	{'name': 'AC_B_04', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	NO MATCH found		FALSE
AC_B_05	CL:0000561	amacrine cell	DOI:10.1016/j.cell.2020.08.013	7e7f63c5-d964-40be-83de-ecbcccafd233_cxg_dataset_unique	{'name': 'AC_B_05', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
AC_B_06	CL:0000561	amacrine cell	DOI:10.1016/j.cell.2020.08.013	7e7f63c5-d964-40be-83de-ecbcccafd233_cxg_dataset_unique	{'name': 'AC_B_06', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
AC_B_07	CL:0000561	amacrine cell	DOI:10.1016/j.cell.2020.08.013	7e7f63c5-d964-40be-83de-ecbcccafd233_cxg_dataset_unique	{'name': 'AC_B_07', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
AC_B_08	CL:0000561	amacrine cell	DOI:10.1016/j.cell.2020.08.013	7e7f63c5-d964-40be-83de-ecbcccafd233_cxg_dataset_unique	{'name': 'AC_B_08', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
AC_B_09	CL:0000561	amacrine cell	DOI:10.1016/j.cell.2020.08.013	7e7f63c5-d964-40be-83de-ecbcccafd233_cxg_dataset_unique	{'name': 'AC_B_09', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	NO MATCH found		FALSE
AC_B_10	CL:0000561	amacrine cell	DOI:10.1016/j.cell.2020.08.013	7e7f63c5-d964-40be-83de-ecbcccafd233_cxg_dataset_unique	{'name': 'AC_B_10', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
AC_B_11	CL:0000561	amacrine cell	DOI:10.1016/j.cell.2020.08.013	7e7f63c5-d964-40be-83de-ecbcccafd233_cxg_dataset_unique	{'name': 'AC_B_11', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	NO MATCH found		FALSE
AC_B_12	CL:0000561	amacrine cell	DOI:10.1016/j.cell.2020.08.013	7e7f63c5-d964-40be-83de-ecbcccafd233_cxg_dataset_unique	{'name': 'AC_B_12', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
