annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label	result
Ascending vasa recta endothelium	CL:1001131	vasa recta ascending limb cell	DOI:10.1126/science.aat5031	9ea768a2-87ab-46b6-a73d-c4e915f25af3_cxg_dataset_unique	{'name': 'Ascending vasa recta endothelium', 'full_name': 'ascending vasa recta endothelium', 'paper_synonyms': 'AVRE', 'tissue_context': ''}	CL:1001131	vasa recta ascending limb cell	TRUE
B cell	CL:0000236	B cell	DOI:10.1126/science.aat5031	9ea768a2-87ab-46b6-a73d-c4e915f25af3_cxg_dataset_unique	{'name': 'B cell', 'full_name': 'B cell', 'paper_synonyms': 'B', 'tissue_context': ''}	CL:0000236	B cell	TRUE
CD4 T cell	CL:0000624	CD4-positive, alpha-beta T cell	DOI:10.1126/science.aat5031	9ea768a2-87ab-46b6-a73d-c4e915f25af3_cxg_dataset_unique	{'name': 'CD4 T cell', 'full_name': 'CD4 T cell', 'paper_synonyms': 'CD4 T', 'tissue_context': ''}	CL:0000624	CD4-positive, alpha-beta T cell	TRUE
CD8 T cell	CL:0000625	CD8-positive, alpha-beta T cell	DOI:10.1126/science.aat5031	9ea768a2-87ab-46b6-a73d-c4e915f25af3_cxg_dataset_unique	{'name': 'CD8 T cell', 'full_name': 'CD8 T cell', 'paper_synonyms': 'CD8 T', 'tissue_context': ''}	CL:0000625	CD8-positive, alpha-beta T cell	TRUE
Connecting tubule	CL:1000768	kidney connecting tubule epithelial cell	DOI:10.1126/science.aat5031	9ea768a2-87ab-46b6-a73d-c4e915f25af3_cxg_dataset_unique	{'name': 'Connecting tubule', 'full_name': 'connecting nephron tubule', 'paper_synonyms': 'CNT', 'tissue_context': ''}	CL:1000768	kidney connecting tubule epithelial cell	TRUE
Descending vasa recta endothelium	CL:1001285	vasa recta descending limb cell	DOI:10.1126/science.aat5031	9ea768a2-87ab-46b6-a73d-c4e915f25af3_cxg_dataset_unique	{'name': 'Descending vasa recta endothelium', 'full_name': 'descending vasa recta endothelium', 'paper_synonyms': 'DVRE', 'tissue_context': ''}	CL:1000892	kidney capillary endothelial cell	FALSE
Distinct proximal tubule 1	CL:0002306	epithelial cell of proximal tubule	DOI:10.1126/science.aat5031	9ea768a2-87ab-46b6-a73d-c4e915f25af3_cxg_dataset_unique	{'name': 'Distinct proximal tubule 1', 'full_name': 'distinct proximal tubule 1', 'paper_synonyms': 'dPT', 'tissue_context': ''}	CL:0002306	epithelial cell of proximal tubule	TRUE
Distinct proximal tubule 2	CL:0002306	epithelial cell of proximal tubule	DOI:10.1126/science.aat5031	9ea768a2-87ab-46b6-a73d-c4e915f25af3_cxg_dataset_unique	{'name': 'Distinct proximal tubule 2', 'full_name': 'distinct proximal tubule 2', 'paper_synonyms': 'dPT', 'tissue_context': ''}	CL:0002306	epithelial cell of proximal tubule	TRUE
Epithelial progenitor cell	CL:0011026	progenitor cell	DOI:10.1126/science.aat5031	9ea768a2-87ab-46b6-a73d-c4e915f25af3_cxg_dataset_unique	{'name': 'Epithelial progenitor cell', 'full_name': 'epithelial progenitor cell', 'paper_synonyms': 'EPC', 'tissue_context': ''}	CL:0011026	progenitor cell	TRUE
Fibroblast	CL:1000692	kidney interstitial fibroblast	DOI:10.1126/science.aat5031	9ea768a2-87ab-46b6-a73d-c4e915f25af3_cxg_dataset_unique	{'name': 'Fibroblast', 'full_name': 'fibroblast', 'paper_synonyms': 'Fib', 'tissue_context': ''}	CL:0000057	fibroblast	FALSE
Glomerular endothelium	CL:0002188	glomerular endothelial cell	DOI:10.1126/science.aat5031	9ea768a2-87ab-46b6-a73d-c4e915f25af3_cxg_dataset_unique	{'name': 'Glomerular endothelium', 'full_name': 'glomerular endothelium', 'paper_synonyms': 'GE; glomerular endothelial cells (GE)', 'tissue_context': ''}	CL:0002188	glomerular endothelial cell	TRUE
Indistinct intercalated cell	CL:0005010	renal intercalated cell	DOI:10.1126/science.aat5031	9ea768a2-87ab-46b6-a73d-c4e915f25af3_cxg_dataset_unique	{'name': 'Indistinct intercalated cell', 'full_name': 'intercalated cell', 'paper_synonyms': 'intercalated cells (IC); IC', 'tissue_context': ''}	CL:0005010	renal intercalated cell	TRUE
Intercalated cell	CL:0005011	renal alpha-intercalated cell	DOI:10.1126/science.aat5031	9ea768a2-87ab-46b6-a73d-c4e915f25af3_cxg_dataset_unique	{'name': 'Intercalated cell', 'full_name': 'intercalated cell', 'paper_synonyms': 'IC', 'tissue_context': ''}	CL:0005010	renal intercalated cell	FALSE
Intercalated cell	CL:0005010	renal intercalated cell	DOI:10.1126/science.aat5031	9ea768a2-87ab-46b6-a73d-c4e915f25af3_cxg_dataset_unique	{'name': 'Intercalated cell', 'full_name': 'intercalated cell', 'paper_synonyms': 'IC', 'tissue_context': ''}	CL:0005010	renal intercalated cell	TRUE
Intercalated cell	CL:0002201	renal beta-intercalated cell	DOI:10.1126/science.aat5031	9ea768a2-87ab-46b6-a73d-c4e915f25af3_cxg_dataset_unique	{'name': 'Intercalated cell', 'full_name': 'intercalated cell', 'paper_synonyms': 'IC', 'tissue_context': ''}	CL:0005010	renal intercalated cell	FALSE
