annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label	result
Muller cell	CL:0000636	Mueller cell	DOI:10.15252/embj.2018100811	d5c67a4e-a8d9-456d-a273-fa01adb1b308_cxg_dataset_unique	{'name': 'Muller cell', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000636	Mueller cell	TRUE
amacrine cell	CL:0000561	amacrine cell	DOI:10.15252/embj.2018100811	d5c67a4e-a8d9-456d-a273-fa01adb1b308_cxg_dataset_unique	{'name': 'amacrine cell', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000561	amacrine cell	TRUE
microglial cell	CL:0000129	microglial cell	DOI:10.15252/embj.2018100811	d5c67a4e-a8d9-456d-a273-fa01adb1b308_cxg_dataset_unique	{'name': 'microglial cell', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000129	microglial cell	TRUE
retinal bipolar neuron type A	CL:0000749	ON-bipolar cell	DOI:10.15252/embj.2018100811	d5c67a4e-a8d9-456d-a273-fa01adb1b308_cxg_dataset_unique	{'name': 'retinal bipolar neuron type A', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000748	retinal bipolar neuron	FALSE
retinal bipolar neuron type B	CL:0000750	OFF-bipolar cell	DOI:10.15252/embj.2018100811	d5c67a4e-a8d9-456d-a273-fa01adb1b308_cxg_dataset_unique	{'name': 'retinal bipolar neuron type B', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000748	retinal bipolar neuron	FALSE
retinal bipolar neuron type C	CL:0000749	ON-bipolar cell	DOI:10.15252/embj.2018100811	d5c67a4e-a8d9-456d-a273-fa01adb1b308_cxg_dataset_unique	{'name': 'retinal bipolar neuron type C', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000748	retinal bipolar neuron	FALSE
retinal bipolar neuron type D	CL:0000749	ON-bipolar cell	DOI:10.15252/embj.2018100811	d5c67a4e-a8d9-456d-a273-fa01adb1b308_cxg_dataset_unique	{'name': 'retinal bipolar neuron type D', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000748	retinal bipolar neuron	FALSE
retinal cone cell	CL:0000573	retinal cone cell	DOI:10.15252/embj.2018100811	d5c67a4e-a8d9-456d-a273-fa01adb1b308_cxg_dataset_unique	{'name': 'retinal cone cell', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000573	retinal cone cell	TRUE
retinal ganglion cell	CL:0000740	retinal ganglion cell	DOI:10.15252/embj.2018100811	d5c67a4e-a8d9-456d-a273-fa01adb1b308_cxg_dataset_unique	{'name': 'retinal ganglion cell', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000740	retinal ganglion cell	TRUE
retinal rod cell type A	CL:0000604	retinal rod cell	DOI:10.15252/embj.2018100811	d5c67a4e-a8d9-456d-a273-fa01adb1b308_cxg_dataset_unique	{'name': 'retinal rod cell type A', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000604	retinal rod cell	TRUE
retinal rod cell type B	CL:0000604	retinal rod cell	DOI:10.15252/embj.2018100811	d5c67a4e-a8d9-456d-a273-fa01adb1b308_cxg_dataset_unique	{'name': 'retinal rod cell type B', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000604	retinal rod cell	TRUE
retinal rod cell type C	CL:0000604	retinal rod cell	DOI:10.15252/embj.2018100811	d5c67a4e-a8d9-456d-a273-fa01adb1b308_cxg_dataset_unique	{'name': 'retinal rod cell type C', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000604	retinal rod cell	TRUE
unannotated	unknown	unknown	DOI:10.15252/embj.2018100811	d5c67a4e-a8d9-456d-a273-fa01adb1b308_cxg_dataset_unique	{'name': 'unannotated', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
unspecified	unknown	unknown	DOI:10.15252/embj.2018100811	d5c67a4e-a8d9-456d-a273-fa01adb1b308_cxg_dataset_unique	{'name': 'unspecified', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000000	cell	FALSE
