annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label	result
Muller	CL:0000636	Mueller cell	DOI:10.1093/hmg/ddab140	f5be9ed2-5d41-4a52-91e4-4ff24ff84900_cxg_dataset_unique	{'name': 'Muller', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000636	Mueller cell	TRUE
RGC	CL:0000740	retinal ganglion cell	DOI:10.1093/hmg/ddab140	f5be9ed2-5d41-4a52-91e4-4ff24ff84900_cxg_dataset_unique	{'name': 'RGC', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000740	retinal ganglion cell	TRUE
amacrine	CL:0000561	amacrine cell	DOI:10.1093/hmg/ddab140	f5be9ed2-5d41-4a52-91e4-4ff24ff84900_cxg_dataset_unique	{'name': 'amacrine', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000561	amacrine cell	TRUE
astrocyte	CL:4033015	retinal astrocyte	DOI:10.1093/hmg/ddab140	f5be9ed2-5d41-4a52-91e4-4ff24ff84900_cxg_dataset_unique	{'name': 'astrocyte', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000127	astrocyte	FALSE
cone	CL:0000573	retinal cone cell	DOI:10.1093/hmg/ddab140	f5be9ed2-5d41-4a52-91e4-4ff24ff84900_cxg_dataset_unique	{'name': 'cone', 'full_name': 'cone photoreceptor cell', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000573	retinal cone cell	TRUE
cone-off-BC	CL:0000752	cone retinal bipolar cell	DOI:10.1093/hmg/ddab140	f5be9ed2-5d41-4a52-91e4-4ff24ff84900_cxg_dataset_unique	{'name': 'cone-off-BC', 'full_name': 'cone photoreceptor cell', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000573	retinal cone cell	FALSE
cone-off-BC-BC3A	CL:0000752	cone retinal bipolar cell	DOI:10.1093/hmg/ddab140	f5be9ed2-5d41-4a52-91e4-4ff24ff84900_cxg_dataset_unique	{'name': 'cone-off-BC-BC3A', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0004213	type 3a cone bipolar cell	FALSE
cone-on-BC	CL:0000752	cone retinal bipolar cell	DOI:10.1093/hmg/ddab140	f5be9ed2-5d41-4a52-91e4-4ff24ff84900_cxg_dataset_unique	{'name': 'cone-on-BC', 'full_name': 'cone photoreceptor cell', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000573	retinal cone cell	FALSE
endothelial	CL:0002585	retinal blood vessel endothelial cell	DOI:10.1093/hmg/ddab140	f5be9ed2-5d41-4a52-91e4-4ff24ff84900_cxg_dataset_unique	{'name': 'endothelial', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000115	endothelial cell	FALSE
horizontal	CL:0000745	retina horizontal cell	DOI:10.1093/hmg/ddab140	f5be9ed2-5d41-4a52-91e4-4ff24ff84900_cxg_dataset_unique	{'name': 'horizontal', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000745	retina horizontal cell	TRUE
microglia	CL:0000129	microglial cell	DOI:10.1093/hmg/ddab140	f5be9ed2-5d41-4a52-91e4-4ff24ff84900_cxg_dataset_unique	{'name': 'microglia', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000129	microglial cell	TRUE
pericyte	CL:0000669	pericyte	DOI:10.1093/hmg/ddab140	f5be9ed2-5d41-4a52-91e4-4ff24ff84900_cxg_dataset_unique	{'name': 'pericyte', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000669	pericyte	TRUE
rod	CL:0000604	retinal rod cell	DOI:10.1093/hmg/ddab140	f5be9ed2-5d41-4a52-91e4-4ff24ff84900_cxg_dataset_unique	{'name': 'rod', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000604	retinal rod cell	TRUE
rod-BC	CL:0000751	rod bipolar cell	DOI:10.1093/hmg/ddab140	f5be9ed2-5d41-4a52-91e4-4ff24ff84900_cxg_dataset_unique	{'name': 'rod-BC', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000751	rod bipolar cell	TRUE
