annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label	result
Enterochromaffin cells	CL:0000577	type EC enteroendocrine cell	DOI:10.1016/j.immuni.2023.01.002	fe4b89d5-461e-440c-a5a8-621b37b122c0_cxg_dataset_unique	{'name': 'Enterochromaffin cells', 'full_name': 'Enterochromaffin cells', 'paper_synonyms': 'EC cells; EC', 'tissue_context': ''}	CL:0000577	type EC enteroendocrine cell	TRUE
Enterocytes BEST4	CL:0000584	enterocyte	DOI:10.1016/j.immuni.2023.01.002	fe4b89d5-461e-440c-a5a8-621b37b122c0_cxg_dataset_unique	{'name': 'Enterocytes BEST4', 'full_name': 'Enterocytes', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000584	enterocyte	TRUE
Enterocytes TMIGD1 MEP1A	CL:0000584	enterocyte	DOI:10.1016/j.immuni.2023.01.002	fe4b89d5-461e-440c-a5a8-621b37b122c0_cxg_dataset_unique	{'name': 'Enterocytes TMIGD1 MEP1A', 'full_name': 'Enterocytes TMIGD1+ MEP1A+', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000584	enterocyte	TRUE
Enterocytes TMIGD1 MEP1A GSTA1	CL:0000584	enterocyte	DOI:10.1016/j.immuni.2023.01.002	fe4b89d5-461e-440c-a5a8-621b37b122c0_cxg_dataset_unique	{'name': 'Enterocytes TMIGD1 MEP1A GSTA1', 'full_name': 'Enterocytes TMIGD1+ MEP1A+', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000584	enterocyte	TRUE
Epithelial Cycling cells	CL:0000066	epithelial cell	DOI:10.1016/j.immuni.2023.01.002	fe4b89d5-461e-440c-a5a8-621b37b122c0_cxg_dataset_unique	{'name': 'Epithelial Cycling cells', 'full_name': 'Cycling cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000000	cell	FALSE
Epithelial HBB HBA	CL:0000066	epithelial cell	DOI:10.1016/j.immuni.2023.01.002	fe4b89d5-461e-440c-a5a8-621b37b122c0_cxg_dataset_unique	{'name': 'Epithelial HBB HBA', 'full_name': 'Epithelial cells HBB+ HBA+', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000066	epithelial cell	TRUE
Epithelial cells METTL12 MAFB	CL:0000066	epithelial cell	DOI:10.1016/j.immuni.2023.01.002	fe4b89d5-461e-440c-a5a8-621b37b122c0_cxg_dataset_unique	{'name': 'Epithelial cells METTL12 MAFB', 'full_name': 'Epithelial cells METTL12+ MAFB+', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000066	epithelial cell	TRUE
Goblet cells MUC2 TFF1	CL:0000160	goblet cell	DOI:10.1016/j.immuni.2023.01.002	fe4b89d5-461e-440c-a5a8-621b37b122c0_cxg_dataset_unique	{'name': 'Goblet cells MUC2 TFF1', 'full_name': 'Goblet cells', 'paper_synonyms': 'Goblets', 'tissue_context': ''}	CL:0000160	goblet cell	TRUE
Goblet cells MUC2 TFF1-	CL:0000160	goblet cell	DOI:10.1016/j.immuni.2023.01.002	fe4b89d5-461e-440c-a5a8-621b37b122c0_cxg_dataset_unique	{'name': 'Goblet cells MUC2 TFF1-', 'full_name': 'Goblet cells', 'paper_synonyms': 'Goblets', 'tissue_context': ''}	CL:0000160	goblet cell	TRUE
Goblet cells SPINK4	CL:0000160	goblet cell	DOI:10.1016/j.immuni.2023.01.002	fe4b89d5-461e-440c-a5a8-621b37b122c0_cxg_dataset_unique	{'name': 'Goblet cells SPINK4', 'full_name': 'Goblet cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000160	goblet cell	TRUE
L cells	CL:0002279	type L enteroendocrine cell	DOI:10.1016/j.immuni.2023.01.002	fe4b89d5-461e-440c-a5a8-621b37b122c0_cxg_dataset_unique	{'name': 'L cells', 'full_name': 'L-cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0002279	type L enteroendocrine cell	TRUE
Paneth cells	CL:0000510	paneth cell	DOI:10.1016/j.immuni.2023.01.002	fe4b89d5-461e-440c-a5a8-621b37b122c0_cxg_dataset_unique	{'name': 'Paneth cells', 'full_name': 'Paneth cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000510	paneth cell	TRUE
Stem cells OLFM4	CL:0000034	stem cell	DOI:10.1016/j.immuni.2023.01.002	fe4b89d5-461e-440c-a5a8-621b37b122c0_cxg_dataset_unique	{'name': 'Stem cells OLFM4', 'full_name': 'Stem cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000034	stem cell	TRUE
Stem cells OLFM4 GSTA1	CL:0000034	stem cell	DOI:10.1016/j.immuni.2023.01.002	fe4b89d5-461e-440c-a5a8-621b37b122c0_cxg_dataset_unique	{'name': 'Stem cells OLFM4 GSTA1', 'full_name': 'Stem cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000034	stem cell	TRUE
Stem cells OLFM4 LGR5	CL:0000034	stem cell	DOI:10.1016/j.immuni.2023.01.002	fe4b89d5-461e-440c-a5a8-621b37b122c0_cxg_dataset_unique	{'name': 'Stem cells OLFM4 LGR5', 'full_name': 'Stem cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000034	stem cell	TRUE
