annotation_text	cl_id	cl_label	article_id_doi	enrichment	grounding_cl_id	grounding_cl_label	result
DC1	CL:0000990	conventional dendritic cell	DOI:10.1038/s41586-018-0698-6	{'name': 'DC1', 'full_name': 'conventional dendritic cell 1', 'paper_synonyms': 'conventional DC1', 'tissue_context': ''}	CL:0000990	conventional dendritic cell	TRUE
DC2	CL:0000990	conventional dendritic cell	DOI:10.1038/s41586-018-0698-6	{'name': 'DC2', 'full_name': 'dendritic cell 2', 'paper_synonyms': 'dendritic cells; DC', 'tissue_context': ''}	CL:0000990	conventional dendritic cell	TRUE
EVT	CL:0008036	extravillous trophoblast	DOI:10.1038/s41586-018-0698-6	{'name': 'EVT', 'full_name': 'extravillous trophoblast', 'paper_synonyms': 'extravillous trophoblast cells', 'tissue_context': ''}	CL:0008036	extravillous trophoblast	TRUE
Endo (f)	CL:0000115	endothelial cell	DOI:10.1038/s41586-018-0698-6	{'name': 'Endo (f)', 'full_name': 'Fetal endothelial cells', 'paper_synonyms': 'Endo', 'tissue_context': ''}	CL:0000115	endothelial cell	TRUE
Endo (m)	CL:0000115	endothelial cell	DOI:10.1038/s41586-018-0698-6	{'name': 'Endo (m)', 'full_name': 'Maternal endothelial cells', 'paper_synonyms': 'Endo', 'tissue_context': ''}	CL:0000115	endothelial cell	TRUE
Endo L	CL:0000115	endothelial cell	DOI:10.1038/s41586-018-0698-6	{'name': 'Endo L', 'full_name': 'Lymphatic endothelial cells', 'paper_synonyms': 'Endo; Endo l', 'tissue_context': ''}	CL:0002138	endothelial cell of lymphatic vessel	FALSE
Epi1	CL:0000150	glandular secretory epithelial cell	DOI:10.1038/s41586-018-0698-6	{'name': 'Epi1', 'full_name': 'epithelial glandular cell 1', 'paper_synonyms': 'Epi; epithelial glandular cells', 'tissue_context': ''}	CL:0000150	glandular secretory epithelial cell	TRUE
Epi2	CL:0000150	glandular secretory epithelial cell	DOI:10.1038/s41586-018-0698-6	{'name': 'Epi2', 'full_name': 'epithelial glandular cell 2', 'paper_synonyms': 'Epi; epithelial glandular cells', 'tissue_context': ''}	CL:0000150	glandular secretory epithelial cell	TRUE
Granulocytes	CL:0000094	granulocyte	DOI:10.1038/s41586-018-0698-6	{'name': 'Granulocytes', 'full_name': 'granulocytes', 'paper_synonyms': 'Granulo', 'tissue_context': ''}	CL:0000094	granulocyte	TRUE
HB	CL:3000001	Hofbauer cell	DOI:10.1038/s41586-018-0698-6	{'name': 'HB', 'full_name': 'Hofbauer cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:3000001	Hofbauer cell	TRUE
ILC3	CL:0001065	innate lymphoid cell	DOI:10.1038/s41586-018-0698-6	{'name': 'ILC3', 'full_name': 'innate lymphocyte cell 3', 'paper_synonyms': 'innate lymphocyte cells; ILC', 'tissue_context': ''}	CL:0001071	group 3 innate lymphoid cell	FALSE
MO	CL:0000576	monocyte	DOI:10.1038/s41586-018-0698-6	{'name': 'MO', 'full_name': 'monocytes', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000576	monocyte	TRUE
NK CD16+	CL:0000939	CD16-positive, CD56-dim natural killer cell, human	DOI:10.1038/s41586-018-0698-6	{'name': 'NK CD16+', 'full_name': 'natural killer cell CD16+', 'paper_synonyms': 'natural killer cells', 'tissue_context': ''}	CL:0000939	CD16-positive, CD56-dim natural killer cell, human	TRUE
NK CD16-	CL:0000938	CD16-negative, CD56-bright natural killer cell, human	DOI:10.1038/s41586-018-0698-6	{'name': 'NK CD16-', 'full_name': 'natural killer cell CD16-', 'paper_synonyms': 'natural killer cells; NK', 'tissue_context': ''}	CL:0000938	CD16-negative, CD56-bright natural killer cell, human	TRUE
Plasma	CL:0000786	plasma cell	DOI:10.1038/s41586-018-0698-6	{'name': 'Plasma', 'full_name': 'plasma cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000786	plasma cell	TRUE
