author_cell_type	CL_label	CL_ID	reference	dataset_version
Plasma cells	plasma cell	CL:0000786	https://doi.org/10.1016/j.cell.2019.08.008	https://datasets.cellxgene.cziscience.com/73904545-a97e-4b0b-9599-a8636359ef00.h5ad
Doublets	unknown	unknown	https://doi.org/10.1016/j.cell.2019.08.008	https://datasets.cellxgene.cziscience.com/73904545-a97e-4b0b-9599-a8636359ef00.h5ad
T cells	alpha-beta T cell	CL:0000789	https://doi.org/10.1016/j.cell.2019.08.008	https://datasets.cellxgene.cziscience.com/73904545-a97e-4b0b-9599-a8636359ef00.h5ad
ILC	innate lymphoid cell	CL:0001065	https://doi.org/10.1016/j.cell.2019.08.008	https://datasets.cellxgene.cziscience.com/73904545-a97e-4b0b-9599-a8636359ef00.h5ad
Progenitors	progenitor cell	CL:0011026	https://doi.org/10.1016/j.cell.2019.08.008	https://datasets.cellxgene.cziscience.com/73904545-a97e-4b0b-9599-a8636359ef00.h5ad
B cells	B cell	CL:0000236	https://doi.org/10.1016/j.cell.2019.08.008	https://datasets.cellxgene.cziscience.com/73904545-a97e-4b0b-9599-a8636359ef00.h5ad
CD36+ endothelium	endothelial cell	CL:0000115	https://doi.org/10.1016/j.cell.2019.08.008	https://datasets.cellxgene.cziscience.com/73904545-a97e-4b0b-9599-a8636359ef00.h5ad
MNP	mononuclear phagocyte	CL:0000113	https://doi.org/10.1016/j.cell.2019.08.008	https://datasets.cellxgene.cziscience.com/73904545-a97e-4b0b-9599-a8636359ef00.h5ad
Cycling	unknown	unknown	https://doi.org/10.1016/j.cell.2019.08.008	https://datasets.cellxgene.cziscience.com/73904545-a97e-4b0b-9599-a8636359ef00.h5ad
Mast cells	mast cell	CL:0000097	https://doi.org/10.1016/j.cell.2019.08.008	https://datasets.cellxgene.cziscience.com/73904545-a97e-4b0b-9599-a8636359ef00.h5ad
TA	transit amplifying cell of small intestine	CL:0009012	https://doi.org/10.1016/j.cell.2019.08.008	https://datasets.cellxgene.cziscience.com/73904545-a97e-4b0b-9599-a8636359ef00.h5ad
Enterocytes	enterocyte of epithelium proper of ileum	CL:1000342	https://doi.org/10.1016/j.cell.2019.08.008	https://datasets.cellxgene.cziscience.com/73904545-a97e-4b0b-9599-a8636359ef00.h5ad
SM	smooth muscle fiber of ileum	CL:1000278	https://doi.org/10.1016/j.cell.2019.08.008	https://datasets.cellxgene.cziscience.com/73904545-a97e-4b0b-9599-a8636359ef00.h5ad
Goblets	ileal goblet cell	CL:1000326	https://doi.org/10.1016/j.cell.2019.08.008	https://datasets.cellxgene.cziscience.com/73904545-a97e-4b0b-9599-a8636359ef00.h5ad
Fibs	fibroblast	CL:0000057	https://doi.org/10.1016/j.cell.2019.08.008	https://datasets.cellxgene.cziscience.com/73904545-a97e-4b0b-9599-a8636359ef00.h5ad
ACKR1+ endothelium	endothelial cell	CL:0000115	https://doi.org/10.1016/j.cell.2019.08.008	https://datasets.cellxgene.cziscience.com/73904545-a97e-4b0b-9599-a8636359ef00.h5ad
Pericytes	pericyte	CL:0000669	https://doi.org/10.1016/j.cell.2019.08.008	https://datasets.cellxgene.cziscience.com/73904545-a97e-4b0b-9599-a8636359ef00.h5ad
Enteroendocrines	enteroendocrine cell of small intestine	CL:0009006	https://doi.org/10.1016/j.cell.2019.08.008	https://datasets.cellxgene.cziscience.com/73904545-a97e-4b0b-9599-a8636359ef00.h5ad
Paneth cells	paneth cell of epithelium of small intestine	CL:1000343	https://doi.org/10.1016/j.cell.2019.08.008	https://datasets.cellxgene.cziscience.com/73904545-a97e-4b0b-9599-a8636359ef00.h5ad
Glial cells	glial cell	CL:0000125	https://doi.org/10.1016/j.cell.2019.08.008	https://datasets.cellxgene.cziscience.com/73904545-a97e-4b0b-9599-a8636359ef00.h5ad
Lymphatics	endothelial cell of lymphatic vessel	CL:0002138	https://doi.org/10.1016/j.cell.2019.08.008	https://datasets.cellxgene.cziscience.com/73904545-a97e-4b0b-9599-a8636359ef00.h5ad
Immune cells	plasma cell	CL:0000786	https://doi.org/10.1016/j.cell.2019.08.008	https://datasets.cellxgene.cziscience.com/73904545-a97e-4b0b-9599-a8636359ef00.h5ad
Immune cells	alpha-beta T cell	CL:0000789	https://doi.org/10.1016/j.cell.2019.08.008	https://datasets.cellxgene.cziscience.com/73904545-a97e-4b0b-9599-a8636359ef00.h5ad
