author_cell_type	CL_label	CL_ID	reference	dataset_version
RPE	retinal pigment epithelial cell	CL:0002586	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
AC_B_01	amacrine cell	CL:0000561	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
AC_Y_03	amacrine cell	CL:0000561	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
AC_B_17	amacrine cell	CL:0000561	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
AC_B_04	amacrine cell	CL:0000561	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
AC_B_06	amacrine cell	CL:0000561	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
AC_B_16	amacrine cell	CL:0000561	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
AC_B_12	amacrine cell	CL:0000561	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
AC_Y_01	amacrine cell	CL:0000561	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
AC_B_08	amacrine cell	CL:0000561	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
37-	unknown	unknown	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
38-	unknown	unknown	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
AC_B_11	amacrine cell	CL:0000561	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
AC_B_15	amacrine cell	CL:0000561	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
AC_B_09	amacrine cell	CL:0000561	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
rod	retinal rod cell	CL:0000604	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
L/M cone	retinal cone cell	CL:0000573	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
S cone	retinal cone cell	CL:0000573	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
HC_02	retina horizontal cell	CL:0000745	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
5-	unknown	unknown	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
CdBC_01	ON-bipolar cell	CL:0000749	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
CdBC_02	ON-bipolar cell	CL:0000749	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
ChBC_04	OFF-bipolar cell	CL:0000750	https://doi.org/10.1016/j.cell.2020.08.013	https://datasets.cellxgene.cziscience.com/228fc052-e279-4253-92f6-593ac3d32c58.h5ad
