author_cell_type	CL_label	CL_ID	reference	dataset_version
PC	renal principal cell	CL:0005009	https://doi.org/10.1038/s41467-021-22368-w	https://datasets.cellxgene.cziscience.com/ff2e21de-0848-4346-8f8b-4e1741ec4b39.h5ad
PT	epithelial cell of proximal tubule	CL:0002306	https://doi.org/10.1038/s41467-021-22368-w	https://datasets.cellxgene.cziscience.com/ff2e21de-0848-4346-8f8b-4e1741ec4b39.h5ad
TAL	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106	https://doi.org/10.1038/s41467-021-22368-w	https://datasets.cellxgene.cziscience.com/ff2e21de-0848-4346-8f8b-4e1741ec4b39.h5ad
DCT2	kidney distal convoluted tubule epithelial cell	CL:1000849	https://doi.org/10.1038/s41467-021-22368-w	https://datasets.cellxgene.cziscience.com/ff2e21de-0848-4346-8f8b-4e1741ec4b39.h5ad
DCT1	kidney distal convoluted tubule epithelial cell	CL:1000849	https://doi.org/10.1038/s41467-021-22368-w	https://datasets.cellxgene.cziscience.com/ff2e21de-0848-4346-8f8b-4e1741ec4b39.h5ad
ICA	renal alpha-intercalated cell	CL:0005011	https://doi.org/10.1038/s41467-021-22368-w	https://datasets.cellxgene.cziscience.com/ff2e21de-0848-4346-8f8b-4e1741ec4b39.h5ad
ICB	renal beta-intercalated cell	CL:0002201	https://doi.org/10.1038/s41467-021-22368-w	https://datasets.cellxgene.cziscience.com/ff2e21de-0848-4346-8f8b-4e1741ec4b39.h5ad
PEC	parietal epithelial cell	CL:1000452	https://doi.org/10.1038/s41467-021-22368-w	https://datasets.cellxgene.cziscience.com/ff2e21de-0848-4346-8f8b-4e1741ec4b39.h5ad
CNT	kidney connecting tubule epithelial cell	CL:1000768	https://doi.org/10.1038/s41467-021-22368-w	https://datasets.cellxgene.cziscience.com/ff2e21de-0848-4346-8f8b-4e1741ec4b39.h5ad
ENDO	kidney capillary endothelial cell	CL:1000892	https://doi.org/10.1038/s41467-021-22368-w	https://datasets.cellxgene.cziscience.com/ff2e21de-0848-4346-8f8b-4e1741ec4b39.h5ad
MES	mesangial cell	CL:0000650	https://doi.org/10.1038/s41467-021-22368-w	https://datasets.cellxgene.cziscience.com/ff2e21de-0848-4346-8f8b-4e1741ec4b39.h5ad
PODO	podocyte	CL:0000653	https://doi.org/10.1038/s41467-021-22368-w	https://datasets.cellxgene.cziscience.com/ff2e21de-0848-4346-8f8b-4e1741ec4b39.h5ad
PT_VCAM1	epithelial cell of proximal tubule	CL:0002306	https://doi.org/10.1038/s41467-021-22368-w	https://datasets.cellxgene.cziscience.com/ff2e21de-0848-4346-8f8b-4e1741ec4b39.h5ad
LEUK	leukocyte	CL:0000738	https://doi.org/10.1038/s41467-021-22368-w	https://datasets.cellxgene.cziscience.com/ff2e21de-0848-4346-8f8b-4e1741ec4b39.h5ad
FIB	fibroblast	CL:0000057	https://doi.org/10.1038/s41467-021-22368-w	https://datasets.cellxgene.cziscience.com/ff2e21de-0848-4346-8f8b-4e1741ec4b39.h5ad
