author_cell_type	CL_label	CL_ID	reference	dataset_version
IMM	kidney interstitial alternatively activated macrophage	CL:1000695		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
DCT	kidney distal convoluted tubule epithelial cell	CL:1000849		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
PT	epithelial cell of proximal tubule	CL:0002306		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
IMM	T cell	CL:0000084		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
TAL	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
IC	kidney collecting duct intercalated cell	CL:1001432		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
FIB	kidney interstitial fibroblast	CL:1000692		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
CNT	kidney connecting tubule epithelial cell	CL:1000768		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
PC	kidney collecting duct principal cell	CL:1001431		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
EC	endothelial cell	CL:0000115		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
IMM	B cell	CL:0000236		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
IMM	mature NK T cell	CL:0000814		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
IMM	mononuclear phagocyte	CL:0000113		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
POD	podocyte	CL:0000653		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
PEC	parietal epithelial cell	CL:1000452		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
IMM	mast cell	CL:0000097		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
IMM	plasmacytoid dendritic cell, human	CL:0001058		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
IMM	plasma cell	CL:0000786		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
IMM	non-classical monocyte	CL:0000875		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
IMM	conventional dendritic cell	CL:0000990		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
DTL	kidney loop of Henle thin descending limb epithelial cell	CL:1001111		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
VSM/P	renal interstitial pericyte	CL:1001318		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
ATL	kidney loop of Henle thin ascending limb epithelial cell	CL:1001107		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
IMM	neutrophil	CL:0000775		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
PapE	papillary tips cell	CL:1000597		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
NEU	neural cell	CL:0002319		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
MAC-M2	kidney interstitial alternatively activated macrophage	CL:1000695		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
DCT1	kidney distal convoluted tubule epithelial cell	CL:1000849		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
PT-S1	epithelial cell of proximal tubule	CL:0002306		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
T	T cell	CL:0000084		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
aPT	epithelial cell of proximal tubule	CL:0002306		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
aTAL1	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
dC-IC-A	kidney collecting duct intercalated cell	CL:1001432		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
CCD-IC-A	kidney collecting duct intercalated cell	CL:1001432		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
MD	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
PT-S2	epithelial cell of proximal tubule	CL:0002306		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
CNT-PC	kidney connecting tubule epithelial cell	CL:1000768		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
dPT/DTL	epithelial cell of proximal tubule	CL:0002306		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
DCT2	kidney distal convoluted tubule epithelial cell	CL:1000849		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
PT-S3	epithelial cell of proximal tubule	CL:0002306		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
CCD-PC	kidney collecting duct principal cell	CL:1001431		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
EC-GC	endothelial cell	CL:0000115		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
C-TAL	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
B	B cell	CL:0000236		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
NKT	mature NK T cell	CL:0000814		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
MDC	mononuclear phagocyte	CL:0000113		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
EC-PTC	endothelial cell	CL:0000115		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
IC-B	kidney collecting duct intercalated cell	CL:1001432		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
aFIB	kidney interstitial fibroblast	CL:1000692		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
EC-DVR	endothelial cell	CL:0000115		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
MAST	mast cell	CL:0000097		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
dPT	epithelial cell of proximal tubule	CL:0002306		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
dM-TAL	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
EC-AEA	endothelial cell	CL:0000115		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
dIMCD	kidney collecting duct principal cell	CL:1001431		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
dOMCD-PC	kidney collecting duct principal cell	CL:1001431		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
EC-LYM	endothelial cell	CL:0000115		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
dCNT	kidney connecting tubule epithelial cell	CL:1000768		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
dDCT	kidney distal convoluted tubule epithelial cell	CL:1000849		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
pDC	plasmacytoid dendritic cell, human	CL:0001058		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
PL	plasma cell	CL:0000786		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
dPOD	podocyte	CL:0000653		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
aTAL2	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
cycMNP	mononuclear phagocyte	CL:0000113		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
ncMON	non-classical monocyte	CL:0000875		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
cDC	conventional dendritic cell	CL:0000990		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
DTL2	kidney loop of Henle thin descending limb epithelial cell	CL:1001111		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
EC-AVR	endothelial cell	CL:0000115		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
M-TAL	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
DTL1	kidney loop of Henle thin descending limb epithelial cell	CL:1001111		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
VSMC/P	renal interstitial pericyte	CL:1001318		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
dFIB	kidney interstitial fibroblast	CL:1000692		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
MC	renal interstitial pericyte	CL:1001318		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
cycPT	epithelial cell of proximal tubule	CL:0002306		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
