author_cell_type	CL_label	CL_ID	reference	dataset_version
Adaptive / Maladaptive / Repairing Fibroblast	kidney interstitial fibroblast	CL:1000692	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique
Degenerative Fibroblast	kidney interstitial fibroblast	CL:1000692	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique
FIB	kidney interstitial fibroblast	CL:1000692	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique
Fibroblast	kidney interstitial fibroblast	CL:1000692	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique
IC	kidney collecting duct intercalated cell	CL:1001432	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique
IC-B	kidney collecting duct intercalated cell	CL:1001432	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique
Intercalated Cell Type B	kidney collecting duct intercalated cell	CL:1001432	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique
M2 Macrophage	kidney interstitial alternatively activated macrophage	CL:1000695	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique
MAC-M2	kidney interstitial alternatively activated macrophage	CL:1000695	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique
Medullary Fibroblast	kidney interstitial fibroblast	CL:1000692	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique
PC	kidney collecting duct principal cell	CL:1001431	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique
Plasmacytoid Dendritic Cell	plasmacytoid dendritic cell, human	CL:0001058	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique
Transitional Principal-Intercalated Cell	kidney collecting duct intercalated cell	CL:1001432	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique
