annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label	result
BEST4+	CL:4030026	BEST4+ enterocyte	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'BEST4+', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:4030026	BEST4+ enterocyte	TRUE
BEST4+	CL:0002254	epithelial cell of small intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'BEST4+', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:4030026	BEST4+ enterocyte	FALSE
C_BEST4	CL:4030026	BEST4+ enterocyte	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_BEST4', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:4030026	BEST4+ enterocyte	TRUE
C_EEC	CL:0009042	enteroendocrine cell of colon	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_EEC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000164	enteroendocrine cell	FALSE
C_ISC	CL:0009043	intestinal crypt stem cell of colon	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_ISC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0002250	intestinal crypt stem cell	FALSE
C_TA	CL:0009011	transit amplifying cell of colon	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_TA', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0009010	transit amplifying cell	FALSE
C_earlyACC	CL:0002071	enterocyte of epithelium of large intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_earlyACC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:4047018	early colonocyte	FALSE
C_earlyCC	CL:0002071	enterocyte of epithelium of large intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_earlyCC', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:4047018	early colonocyte	FALSE
C_goblet	CL:0009039	colon goblet cell	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_goblet', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000160	goblet cell	FALSE
C_lateACC	CL:0002071	enterocyte of epithelium of large intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_lateACC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000622	acinar cell	FALSE
C_lateCC	CL:0002071	enterocyte of epithelium of large intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_lateCC', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000064	ciliated cell	FALSE
C_secretory_prog	CL:0011026	progenitor cell	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_secretory_prog', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0011026	progenitor cell	TRUE
C_tuft	CL:0009041	tuft cell of colon	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_tuft', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0002204	tuft cell	FALSE
EEC	CL:0009042	enteroendocrine cell of colon	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'EEC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000164	enteroendocrine cell	FALSE
EEC	CL:0009006	enteroendocrine cell of small intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'EEC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000164	enteroendocrine cell	FALSE
