annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label
ATL	CL:1001107	kidney loop of Henle thin ascending limb epithelial cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'ATL', 'full_name': 'ascending thin limb', 'paper_synonyms': None, 'tissue_context': ''}	CL:1001107	kidney loop of Henle thin ascending limb epithelial cell
Adaptive / Maladaptive / Repairing Fibroblast	CL:1000692	kidney interstitial fibroblast	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'Adaptive / Maladaptive / Repairing Fibroblast', 'full_name': 'adaptive (successful or maladaptive repair) fibroblast', 'paper_synonyms': 'aFIB; aStr', 'tissue_context': ''}	CL:0000057	fibroblast
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell	CL:0002306	epithelial cell of proximal tubule	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell', 'full_name': 'adaptive (successful or maladaptive tubular repair) proximal tubule epithelial cell', 'paper_synonyms': 'aPT; adaptive epithelial (aEpi)', 'tissue_context': ''}	CL:0002306	epithelial cell of proximal tubule
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell	CL:1001106	kidney loop of Henle thick ascending limb epithelial cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell', 'full_name': 'adaptive/maladaptive repairing thick ascending limb epithelial cell', 'paper_synonyms': 'aTAL; adaptive TAL; adaptive epithelial (aEpi)', 'tissue_context': ''}	CL:1001106	kidney loop of Henle thick ascending limb epithelial cell
Afferent / Efferent Arteriole Endothelial Cell	CL:0000115	endothelial cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'Afferent / Efferent Arteriole Endothelial Cell', 'full_name': 'endothelial cell of the afferent/efferent arterioles', 'paper_synonyms': 'EC-AEA', 'tissue_context': ''}	CL:1000412	endothelial cell of arteriole
Ascending Thin Limb Cell	CL:1001107	kidney loop of Henle thin ascending limb epithelial cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'Ascending Thin Limb Cell', 'full_name': 'ascending thin limb (ATL) cell', 'paper_synonyms': 'ATL', 'tissue_context': ''}	CL:1001107	kidney loop of Henle thin ascending limb epithelial cell
Ascending Vasa Recta Endothelial Cell	CL:0000115	endothelial cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'Ascending Vasa Recta Endothelial Cell', 'full_name': 'Ascending Vasa Recta Endothelial Cell', 'paper_synonyms': 'EC-AVR', 'tissue_context': ''}	CL:1001131	vasa recta ascending limb cell
B	CL:0000236	B cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'B', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000236	B cell
B Cell	CL:0000236	B cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'B Cell', 'full_name': 'B cell', 'paper_synonyms': 'B', 'tissue_context': ''}	CL:0000236	B cell
C-IC-A	CL:1001432	kidney collecting duct intercalated cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'C-IC-A', 'full_name': 'cortical intercalated cell', 'paper_synonyms': 'IC', 'tissue_context': ''}	CL:1000715	kidney cortex collecting duct intercalated cell
C-PC	CL:1001431	kidney collecting duct principal cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'C-PC', 'full_name': 'cortical principal cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:1000714	kidney cortex collecting duct principal cell
C-TAL	CL:1001106	kidney loop of Henle thick ascending limb epithelial cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'C-TAL', 'full_name': 'cortical thick ascending limb', 'paper_synonyms': 'thick ascending limb (TAL)', 'tissue_context': ''}	CL:1001109	kidney loop of Henle cortical thick ascending limb epithelial cell
CCD-IC-A	CL:1001432	kidney collecting duct intercalated cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'CCD-IC-A', 'full_name': 'cortical collecting duct intercalated cells', 'paper_synonyms': 'CCD; C-CD; IC; intercalated cells', 'tissue_context': ''}	CL:1000715	kidney cortex collecting duct intercalated cell
CCD-PC	CL:1001431	kidney collecting duct principal cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'CCD-PC', 'full_name': 'cortical collecting duct principal cell', 'paper_synonyms': 'PC; principal cells; CCD; cortical collecting duct', 'tissue_context': ''}	CL:1000714	kidney cortex collecting duct principal cell
CNT	CL:1000768	kidney connecting tubule epithelial cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'CNT', 'full_name': 'connecting tubule', 'paper_synonyms': None, 'tissue_context': ''}	CL:1000768	kidney connecting tubule epithelial cell
CNT-IC-A	CL:1001432	kidney collecting duct intercalated cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'CNT-IC-A', 'full_name': 'connecting tubule intercalated cell', 'paper_synonyms': 'CNT-IC; IC; CNT', 'tissue_context': ''}	CL:4030019	kidney connecting tubule intercalated cell
CNT-PC	CL:1000768	kidney connecting tubule epithelial cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'CNT-PC', 'full_name': 'connecting tubule principal cell', 'paper_synonyms': 'PC; principal cells; CNT; connecting tubules', 'tissue_context': ''}	CL:4030018	kidney connecting tubule principal cell
Classical Dendritic Cell	CL:0000990	conventional dendritic cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'Classical Dendritic Cell', 'full_name': 'Classical Dendritic Cell', 'paper_synonyms': 'cDC', 'tissue_context': ''}	CL:0000990	conventional dendritic cell
Connecting Tubule Cell	CL:1000768	kidney connecting tubule epithelial cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'Connecting Tubule Cell', 'full_name': 'connecting tubule cell', 'paper_synonyms': 'CNT', 'tissue_context': ''}	CL:1000768	kidney connecting tubule epithelial cell
Connecting Tubule Intercalated Cell Type A	CL:1001432	kidney collecting duct intercalated cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'Connecting Tubule Intercalated Cell Type A', 'full_name': 'connecting tubule intercalated cell', 'paper_synonyms': 'CNT-IC; IC', 'tissue_context': ''}	CL:4030019	kidney connecting tubule intercalated cell
Connecting Tubule Principal Cell	CL:1000768	kidney connecting tubule epithelial cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'Connecting Tubule Principal Cell', 'full_name': 'Connecting tubule principal cell', 'paper_synonyms': 'CNT-PC', 'tissue_context': ''}	CL:4030018	kidney connecting tubule principal cell
Cortical Collecting Duct Intercalated Cell Type A	CL:1001432	kidney collecting duct intercalated cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'Cortical Collecting Duct Intercalated Cell Type A', 'full_name': 'cortical collecting duct intercalated cell', 'paper_synonyms': 'CCD; IC; C-CD', 'tissue_context': ''}	CL:1000715	kidney cortex collecting duct intercalated cell
