annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label	result
ATL	CL:1001107	kidney loop of Henle thin ascending limb epithelial cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'ATL', 'full_name': 'ascending thin limb', 'paper_synonyms': None, 'tissue_context': ''}	CL:1001107	kidney loop of Henle thin ascending limb epithelial cell	TRUE
Adaptive / Maladaptive / Repairing Fibroblast	CL:1000692	kidney interstitial fibroblast	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'Adaptive / Maladaptive / Repairing Fibroblast', 'full_name': 'adaptive (successful or maladaptive repair) fibroblast', 'paper_synonyms': 'aFIB; aStr', 'tissue_context': ''}	CL:0000057	fibroblast	FALSE
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell	CL:0002306	epithelial cell of proximal tubule	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell', 'full_name': 'adaptive (successful or maladaptive tubular repair) proximal tubule epithelial cell', 'paper_synonyms': 'aPT; adaptive epithelial (aEpi)', 'tissue_context': ''}	CL:0002306	epithelial cell of proximal tubule	TRUE
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell	CL:1001106	kidney loop of Henle thick ascending limb epithelial cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell', 'full_name': 'adaptive/maladaptive repairing thick ascending limb epithelial cell', 'paper_synonyms': 'aTAL; adaptive TAL; adaptive epithelial (aEpi)', 'tissue_context': ''}	CL:1001106	kidney loop of Henle thick ascending limb epithelial cell	TRUE
Afferent / Efferent Arteriole Endothelial Cell	CL:0000115	endothelial cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'Afferent / Efferent Arteriole Endothelial Cell', 'full_name': 'endothelial cell of the afferent/efferent arterioles', 'paper_synonyms': 'EC-AEA', 'tissue_context': ''}	CL:1000412	endothelial cell of arteriole	FALSE
Ascending Thin Limb Cell	CL:1001107	kidney loop of Henle thin ascending limb epithelial cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'Ascending Thin Limb Cell', 'full_name': 'ascending thin limb (ATL) cell', 'paper_synonyms': 'ATL', 'tissue_context': ''}	CL:1001107	kidney loop of Henle thin ascending limb epithelial cell	TRUE
Ascending Vasa Recta Endothelial Cell	CL:0000115	endothelial cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'Ascending Vasa Recta Endothelial Cell', 'full_name': 'Ascending Vasa Recta Endothelial Cell', 'paper_synonyms': 'EC-AVR', 'tissue_context': ''}	CL:1001131	vasa recta ascending limb cell	FALSE
B	CL:0000236	B cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'B', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000236	B cell	TRUE
B Cell	CL:0000236	B cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'B Cell', 'full_name': 'B cell', 'paper_synonyms': 'B', 'tissue_context': ''}	CL:0000236	B cell	TRUE
C-IC-A	CL:1001432	kidney collecting duct intercalated cell	DOI:10.1038/s41586-023-05769-3	0b75c598-0893-4216-afe8-5414cab7739d_cxg_dataset_unique	{'name': 'C-IC-A', 'full_name': 'cortical intercalated cell', 'paper_synonyms': 'IC', 'tissue_context': ''}	CL:1000715	kidney cortex collecting duct intercalated cell	FALSE
