annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label
Activated CD4 T	CL:0000624	CD4-positive, alpha-beta T cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'Activated CD4 T', 'full_name': 'CD4+ T cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000624	CD4-positive, alpha-beta T cell
B cell IgA Plasma	CL:0000987	IgA plasma cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'B cell IgA Plasma', 'full_name': 'IgA+ plasma cell', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000987	IgA plasma cell
B cell IgG Plasma	CL:0000236	B cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'B cell IgG Plasma', 'full_name': 'IgG+ plasma cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000985	IgG plasma cell
B cell cycling	CL:0000236	B cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'B cell cycling', 'full_name': 'MKI67+ cycling B cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:4033068	cycling B cell
B cell memory	CL:0000787	memory B cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'B cell memory', 'full_name': 'memory B cell', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000787	memory B cell
CD8 T	CL:0000625	CD8-positive, alpha-beta T cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'CD8 T', 'full_name': 'CD8+ T cell', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000625	CD8-positive, alpha-beta T cell
Follicular B cell	CL:0000843	follicular B cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'Follicular B cell', 'full_name': 'follicular B cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000843	follicular B cell
ILC	CL:0001065	innate lymphoid cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'ILC', 'full_name': 'innate lymphoid cells', 'paper_synonyms': 'ILCs', 'tissue_context': ''}	CL:0001065	innate lymphoid cell
LYVE1 Macrophage	CL:0000235	macrophage	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'LYVE1 Macrophage', 'full_name': 'LYVE1+ macrophages', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000235	macrophage
Lymphoid DC	CL:0000451	dendritic cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'Lymphoid DC', 'full_name': 'dendritic cells', 'paper_synonyms': 'DCs', 'tissue_context': ''}	CL:0000451	dendritic cell
Macrophage	CL:0009038	colon macrophage	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'Macrophage', 'full_name': 'macrophage', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000235	macrophage
Mast	CL:0000097	mast cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'Mast', 'full_name': 'mast cell', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000097	mast cell
Monocyte	CL:0000576	monocyte	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'Monocyte', 'full_name': 'monocyte', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000576	monocyte
NK	CL:0000623	natural killer cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'NK', 'full_name': 'natural killer cells', 'paper_synonyms': 'NK cells', 'tissue_context': ''}	CL:0000623	natural killer cell
Tcm	CL:0000813	memory T cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'Tcm', 'full_name': 'central memory T cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000813	memory T cell
Tfh	CL:0002038	T follicular helper cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'Tfh', 'full_name': 'follicular helper cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0002038	T follicular helper cell
Th1	CL:0000545	T-helper 1 cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'Th1', 'full_name': 'T helper 1 cells', 'paper_synonyms': 'TH1 cells', 'tissue_context': ''}	CL:0000545	T-helper 1 cell
Th17	CL:0000899	T-helper 17 cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'Th17', 'full_name': 'T helper 17 cell', 'paper_synonyms': 'TH17; T helper (TH) 17 cells', 'tissue_context': ''}	CL:0000899	T-helper 17 cell
Treg	CL:0000815	regulatory T cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'Treg', 'full_name': 'T regulatory cells', 'paper_synonyms': 'Treg cells; regulatory T cells', 'tissue_context': ''}	CL:0000815	regulatory T cell
cDC1	CL:0000990	conventional dendritic cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'cDC1', 'full_name': 'conventional dendritic cell 1', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000990	conventional dendritic cell
cDC2	CL:0000990	conventional dendritic cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'cDC2', 'full_name': 'conventional dendritic cell 2', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000990	conventional dendritic cell
cycling DCs	CL:0000451	dendritic cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'cycling DCs', 'full_name': 'cycling dendritic cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:4033070	cycling dendritic cell
cycling gd T	CL:0000798	gamma-delta T cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'cycling gd T', 'full_name': 'cycling gammadelta T cell', 'paper_synonyms': 'gammadelta T cells', 'tissue_context': ''}	CL:4033072	cycling gamma-delta T cell
gd T	CL:0000798	gamma-delta T cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'gd T', 'full_name': 'gammadelta T cell', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000798	gamma-delta T cell
pDC	CL:0000784	plasmacytoid dendritic cell	DOI:10.1038/s41590-020-0602-z	2872f4b0-b171-46e2-abc6-befcf6de6306_cxg_dataset_unique	{'name': 'pDC', 'full_name': 'plasmacytoid DCs', 'paper_synonyms': 'pDCs', 'tissue_context': ''}	CL:0000784	plasmacytoid dendritic cell
