annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label	result
ACKR1+ endothelium	CL:0000115	endothelial cell	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'ACKR1+ endothelium', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000115	endothelial cell	TRUE
B cells	CL:0000236	B cell	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'B cells', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000236	B cell	TRUE
CD36+ endothelium	CL:0000115	endothelial cell	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'CD36+ endothelium', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000115	endothelial cell	TRUE
Cycling	unknown	unknown	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Cycling', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
Doublets	unknown	unknown	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Doublets', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
Endothelium	CL:0000115	endothelial cell	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Endothelium', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000115	endothelial cell	TRUE
Endothelium	CL:0002138	endothelial cell of lymphatic vessel	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Endothelium', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000115	endothelial cell	FALSE
Enterocytes	CL:1000342	enterocyte of epithelium proper of ileum	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Enterocytes', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000584	enterocyte	FALSE
Enteroendocrines	CL:0009006	enteroendocrine cell of small intestine	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Enteroendocrines', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000164	enteroendocrine cell	FALSE
Fibs	CL:0000057	fibroblast	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Fibs', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000057	fibroblast	TRUE
Glial cells	CL:0000125	glial cell	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Glial cells', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000125	glial cell	TRUE
Goblets	CL:1000326	ileal goblet cell	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Goblets', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000160	goblet cell	FALSE
ILC	CL:0001065	innate lymphoid cell	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'ILC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0001065	innate lymphoid cell	TRUE
Immune cells	CL:0000786	plasma cell	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Immune cells', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000738	leukocyte	FALSE
Immune cells	CL:0000789	alpha-beta T cell	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Immune cells', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000738	leukocyte	FALSE
Immune cells	CL:0001065	innate lymphoid cell	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Immune cells', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000738	leukocyte	FALSE
Immune cells	CL:0000236	B cell	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Immune cells', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000738	leukocyte	FALSE
Immune cells	CL:0000113	mononuclear phagocyte	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Immune cells', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000738	leukocyte	FALSE
Immune cells	CL:0000097	mast cell	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Immune cells', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000738	leukocyte	FALSE
Lymphatics	CL:0002138	endothelial cell of lymphatic vessel	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Lymphatics', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0002138	endothelial cell of lymphatic vessel	TRUE
MNP	CL:0000113	mononuclear phagocyte	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'MNP', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000113	mononuclear phagocyte	TRUE
Mast cells	CL:0000097	mast cell	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Mast cells', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000097	mast cell	TRUE
Paneth cells	CL:1000343	paneth cell of epithelium of small intestine	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Paneth cells', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000510	paneth cell	FALSE
Pericytes	CL:0000669	pericyte	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Pericytes', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000669	pericyte	TRUE
Plasma cells	CL:0000786	plasma cell	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Plasma cells', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000786	plasma cell	TRUE
Progenitors	CL:0011026	progenitor cell	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Progenitors', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0011026	progenitor cell	TRUE
SM	CL:1000278	smooth muscle fiber of ileum	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'SM', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000192	smooth muscle cell	FALSE
Stroma	CL:0011026	progenitor cell	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Stroma', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000499	stromal cell	FALSE
Stroma	CL:0000115	endothelial cell	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Stroma', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000499	stromal cell	FALSE
Stroma	unknown	unknown	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Stroma', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000499	stromal cell	FALSE
Stroma	CL:0009012	transit amplifying cell of small intestine	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Stroma', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000499	stromal cell	FALSE
Stroma	CL:1000342	enterocyte of epithelium proper of ileum	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Stroma', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000499	stromal cell	FALSE
Stroma	CL:1000278	smooth muscle fiber of ileum	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Stroma', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000499	stromal cell	FALSE
Stroma	CL:1000326	ileal goblet cell	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Stroma', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000499	stromal cell	FALSE
Stroma	CL:0000057	fibroblast	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Stroma', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000499	stromal cell	FALSE
Stroma	CL:0000669	pericyte	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Stroma', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000499	stromal cell	FALSE
Stroma	CL:0009006	enteroendocrine cell of small intestine	DOI:10.1016/j.cell.2019.08.008	36c867a7-be10-4e69-9b39-5de12b0af6da_cxg_dataset_unique	{'name': 'Stroma', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000499	stromal cell	FALSE
