annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label
Astrocytes	CL:0000127	astrocyte	DOI:10.1007/s00401-023-02599-5	3b8b5de4-3aa1-4ac6-8890-8d03c8219981_cxg_dataset_unique	{'name': 'Astrocytes', 'full_name': 'Astrocytes', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000127	astrocyte
Endothelial	CL:0000115	endothelial cell	DOI:10.1007/s00401-023-02599-5	3b8b5de4-3aa1-4ac6-8890-8d03c8219981_cxg_dataset_unique	{'name': 'Endothelial', 'full_name': 'endothelial cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000115	endothelial cell
L2-L3 Intratelencephalic	CL:0000540	neuron	DOI:10.1007/s00401-023-02599-5	3b8b5de4-3aa1-4ac6-8890-8d03c8219981_cxg_dataset_unique	{'name': 'L2-L3 Intratelencephalic', 'full_name': 'L2-L3 intratelencephalic', 'paper_synonyms': '', 'tissue_context': ''}	CL:4030059	L2/3 intratelencephalic projecting glutamatergic neuron
L3-L5 Intratelencephalic Type 1	CL:0000540	neuron	DOI:10.1007/s00401-023-02599-5	3b8b5de4-3aa1-4ac6-8890-8d03c8219981_cxg_dataset_unique	{'name': 'L3-L5 Intratelencephalic Type 1', 'full_name': 'L3-L5 intratelencephalic type 1', 'paper_synonyms': '', 'tissue_context': ''}	CL:4023008	intratelencephalic-projecting glutamatergic cortical neuron
L3-L5 Intratelencephalic Type 2	CL:0000540	neuron	DOI:10.1007/s00401-023-02599-5	3b8b5de4-3aa1-4ac6-8890-8d03c8219981_cxg_dataset_unique	{'name': 'L3-L5 Intratelencephalic Type 2', 'full_name': 'L3-L5 intratelencephalic type 2', 'paper_synonyms': '', 'tissue_context': ''}	CL:4023008	intratelencephalic-projecting glutamatergic cortical neuron
L5 Extratelencephalic	CL:0000540	neuron	DOI:10.1007/s00401-023-02599-5	3b8b5de4-3aa1-4ac6-8890-8d03c8219981_cxg_dataset_unique	{'name': 'L5 Extratelencephalic', 'full_name': 'L5 extratelencephalic neurons', 'paper_synonyms': None, 'tissue_context': ''}	CL:4023041	L5 extratelencephalic projecting glutamatergic cortical neuron
L5-L6 Near Projecting	CL:0000540	neuron	DOI:10.1007/s00401-023-02599-5	3b8b5de4-3aa1-4ac6-8890-8d03c8219981_cxg_dataset_unique	{'name': 'L5-L6 Near Projecting', 'full_name': 'L5-L6 near projecting neuronal cluster', 'paper_synonyms': None, 'tissue_context': ''}	CL:4030067	L5/6 near-projecting glutamatergic neuron
L6 Corticothalamic / L6B	CL:0000540	neuron	DOI:10.1007/s00401-023-02599-5	3b8b5de4-3aa1-4ac6-8890-8d03c8219981_cxg_dataset_unique	{'name': 'L6 Corticothalamic / L6B', 'full_name': 'L6 corticothalamic / L6B', 'paper_synonyms': 'L6 corticothalamic; L6B', 'tissue_context': ''}	CL:4023042	L6 corticothalamic-projecting glutamatergic cortical neuron
L6 Intratelencephalic - Type 1	CL:0000540	neuron	DOI:10.1007/s00401-023-02599-5	3b8b5de4-3aa1-4ac6-8890-8d03c8219981_cxg_dataset_unique	{'name': 'L6 Intratelencephalic - Type 1', 'full_name': 'L6 intratelencephalic type 1', 'paper_synonyms': '', 'tissue_context': ''}	CL:4030065	L6 intratelencephalic projecting glutamatergic neuron
L6 Intratelencephalic - Type 2	CL:0000540	neuron	DOI:10.1007/s00401-023-02599-5	3b8b5de4-3aa1-4ac6-8890-8d03c8219981_cxg_dataset_unique	{'name': 'L6 Intratelencephalic - Type 2', 'full_name': 'L6 intratelencephalic type 2', 'paper_synonyms': '', 'tissue_context': ''}	CL:4030065	L6 intratelencephalic projecting glutamatergic neuron
Microglia	CL:0000129	microglial cell	DOI:10.1007/s00401-023-02599-5	3b8b5de4-3aa1-4ac6-8890-8d03c8219981_cxg_dataset_unique	{'name': 'Microglia', 'full_name': 'microglia', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000129	microglial cell
OPCs	CL:0002453	oligodendrocyte precursor cell	DOI:10.1007/s00401-023-02599-5	3b8b5de4-3aa1-4ac6-8890-8d03c8219981_cxg_dataset_unique	{'name': 'OPCs', 'full_name': 'oligodendrocyte progenitor cells', 'paper_synonyms': 'oligodendrocyte progenitor cells', 'tissue_context': ''}	CL:0002453	oligodendrocyte precursor cell
Oligodendrocytes	CL:0000128	oligodendrocyte	DOI:10.1007/s00401-023-02599-5	3b8b5de4-3aa1-4ac6-8890-8d03c8219981_cxg_dataset_unique	{'name': 'Oligodendrocytes', 'full_name': 'Oligodendrocytes', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000128	oligodendrocyte
Parvalbumin interneurons	CL:0000540	neuron	DOI:10.1007/s00401-023-02599-5	3b8b5de4-3aa1-4ac6-8890-8d03c8219981_cxg_dataset_unique	{'name': 'Parvalbumin interneurons', 'full_name': 'Parvalbumin interneurons', 'paper_synonyms': None, 'tissue_context': ''}	CL:4023018	pvalb GABAergic interneuron
SV2C LAMP5 Interneurons	CL:0000540	neuron	DOI:10.1007/s00401-023-02599-5	3b8b5de4-3aa1-4ac6-8890-8d03c8219981_cxg_dataset_unique	{'name': 'SV2C LAMP5 Interneurons', 'full_name': 'SV2C LAMP5 interneurons', 'paper_synonyms': '', 'tissue_context': ''}	CL:4023011	lamp5 GABAergic interneuron
Somatostatin Interneurons	CL:0000540	neuron	DOI:10.1007/s00401-023-02599-5	3b8b5de4-3aa1-4ac6-8890-8d03c8219981_cxg_dataset_unique	{'name': 'Somatostatin Interneurons', 'full_name': 'somatostatin interneurons', 'paper_synonyms': None, 'tissue_context': ''}	CL:4023017	sst GABAergic interneuron
VIP Interneurons	CL:0000540	neuron	DOI:10.1007/s00401-023-02599-5	3b8b5de4-3aa1-4ac6-8890-8d03c8219981_cxg_dataset_unique	{'name': 'VIP Interneurons', 'full_name': 'VIP interneurons', 'paper_synonyms': None, 'tissue_context': ''}	CL:4023016	VIP GABAergic interneuron
