annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label	result
B cell	CL:0000787	memory B cell	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'B cell', 'full_name': 'B cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000236	B cell	FALSE
B cell	CL:0000788	naive B cell	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'B cell', 'full_name': 'B cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000236	B cell	FALSE
B cell	CL:0000818	transitional stage B cell	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'B cell', 'full_name': 'B cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000236	B cell	FALSE
B intermediate	CL:0000818	transitional stage B cell	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'B intermediate', 'full_name': 'intermediate B cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000818	transitional stage B cell	TRUE
B memory	CL:0000787	memory B cell	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'B memory', 'full_name': 'memory B cell', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000787	memory B cell	TRUE
B naive	CL:0000788	naive B cell	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'B naive', 'full_name': 'naive B cell', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000788	naive B cell	TRUE
CD14+ Monocyte	CL:0000860	classical monocyte	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'CD14+ Monocyte', 'full_name': 'CD14+ monocytes', 'paper_synonyms': '', 'tissue_context': ''}	CL:0001054	CD14-positive monocyte	FALSE
CD16+ Monocyte	CL:0000875	non-classical monocyte	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'CD16+ Monocyte', 'full_name': 'monocytes', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000576	monocyte	FALSE
CD4+ CTL	CL:0000934	CD4-positive, alpha-beta cytotoxic T cell	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'CD4+ CTL', 'full_name': 'CD4+ Cytotoxic T cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000934	CD4-positive, alpha-beta cytotoxic T cell	TRUE
CD4+ T activated	CL:0001043	activated CD4-positive, alpha-beta T cell, human	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'CD4+ T activated', 'full_name': 'CD4+ activated T cell', 'paper_synonyms': 'activated T cells', 'tissue_context': ''}	CL:0000896	activated CD4-positive, alpha-beta T cell	FALSE
CD4+ T cell	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'CD4+ T cell', 'full_name': 'CD4+ T cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000624	CD4-positive, alpha-beta T cell	FALSE
CD4+ T cell	CL:0000934	CD4-positive, alpha-beta cytotoxic T cell	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'CD4+ T cell', 'full_name': 'CD4+ T cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000624	CD4-positive, alpha-beta T cell	FALSE
CD4+ T cell	CL:0000904	central memory CD4-positive, alpha-beta T cell	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'CD4+ T cell', 'full_name': 'CD4+ T cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000624	CD4-positive, alpha-beta T cell	FALSE
CD4+ T cell	CL:0000815	regulatory T cell	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'CD4+ T cell', 'full_name': 'CD4+ T cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000624	CD4-positive, alpha-beta T cell	FALSE
CD4+ T cell	CL:0001043	activated CD4-positive, alpha-beta T cell, human	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'CD4+ T cell', 'full_name': 'CD4+ T cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000624	CD4-positive, alpha-beta T cell	FALSE
CD4+ T naive	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'CD4+ T naive', 'full_name': 'CD4+ Naive T cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	TRUE
CD4+ Tcm	CL:0000904	central memory CD4-positive, alpha-beta T cell	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'CD4+ Tcm', 'full_name': 'CD4+ Central Memory T cell', 'paper_synonyms': 'CD4+ TCM; CD4+ Central Memory T cell', 'tissue_context': ''}	CL:0000904	central memory CD4-positive, alpha-beta T cell	TRUE
CD8+ T activated	CL:0001049	activated CD8-positive, alpha-beta T cell, human	DOI:10.1016/j.isci.2021.103115	59b69042-47c2-47fd-ad03-d21beb99818f_cxg_dataset_unique	{'name': 'CD8+ T activated', 'full_name': 'Activated CD8+ T cell', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000906	activated CD8-positive, alpha-beta T cell	FALSE
