annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label	result
CC_VenEndo	CL:0000115	endothelial cell	DOI:10.1073/pnas.2200914119	d967b47c-a9e6-4337-b2f4-977f690cb67f_cxg_dataset_unique	{'name': 'CC_VenEndo', 'full_name': 'Collector Channel/Venous Endothelium', 'paper_synonyms': None, 'tissue_context': ''}	CL:0002543	vein endothelial cell	FALSE
Ciliary_Muscle	CL:1000443	ciliary muscle cell	DOI:10.1073/pnas.2200914119	d967b47c-a9e6-4337-b2f4-977f690cb67f_cxg_dataset_unique	{'name': 'Ciliary_Muscle', 'full_name': 'ciliary muscle cells', 'paper_synonyms': 'CM', 'tissue_context': ''}	CL:1000443	ciliary muscle cell	TRUE
Conj_Epi-Basal	CL:1000432	conjunctival epithelial cell	DOI:10.1073/pnas.2200914119	d967b47c-a9e6-4337-b2f4-977f690cb67f_cxg_dataset_unique	{'name': 'Conj_Epi-Basal', 'full_name': 'conjunctival basal epithelial cell', 'paper_synonyms': '', 'tissue_context': ''}	CL:1000432	conjunctival epithelial cell	TRUE
Conj_Epi-Superficial	CL:1000432	conjunctival epithelial cell	DOI:10.1073/pnas.2200914119	d967b47c-a9e6-4337-b2f4-977f690cb67f_cxg_dataset_unique	{'name': 'Conj_Epi-Superficial', 'full_name': 'conjunctival superficial epithelial cell', 'paper_synonyms': '', 'tissue_context': ''}	CL:1000432	conjunctival epithelial cell	TRUE
Conj_Epi-Wing	CL:1000432	conjunctival epithelial cell	DOI:10.1073/pnas.2200914119	d967b47c-a9e6-4337-b2f4-977f690cb67f_cxg_dataset_unique	{'name': 'Conj_Epi-Wing', 'full_name': 'conjunctival epithelial wing cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:1000432	conjunctival epithelial cell	TRUE
Conj_Melanocyte	CL:0000148	melanocyte	DOI:10.1073/pnas.2200914119	d967b47c-a9e6-4337-b2f4-977f690cb67f_cxg_dataset_unique	{'name': 'Conj_Melanocyte', 'full_name': 'conjunctival melanocyte', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000148	melanocyte	TRUE
FibroX	CL:0000057	fibroblast	DOI:10.1073/pnas.2200914119	d967b47c-a9e6-4337-b2f4-977f690cb67f_cxg_dataset_unique	{'name': 'FibroX', 'full_name': 'FibroX', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000057	fibroblast	TRUE
Goblet	CL:0000160	goblet cell	DOI:10.1073/pnas.2200914119	d967b47c-a9e6-4337-b2f4-977f690cb67f_cxg_dataset_unique	{'name': 'Goblet', 'full_name': 'goblet cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000160	goblet cell	TRUE
K_Endo	CL:0000132	corneal endothelial cell	DOI:10.1073/pnas.2200914119	d967b47c-a9e6-4337-b2f4-977f690cb67f_cxg_dataset_unique	{'name': 'K_Endo', 'full_name': 'corneal endothelium', 'paper_synonyms': 'corneal endothelial cells', 'tissue_context': ''}	CL:0000132	corneal endothelial cell	TRUE
K_Epi-Basal	CL:0000646	basal cell	DOI:10.1073/pnas.2200914119	d967b47c-a9e6-4337-b2f4-977f690cb67f_cxg_dataset_unique	{'name': 'K_Epi-Basal', 'full_name': 'corneal epithelial basal cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000575	corneal epithelial cell	FALSE
K_Epi-Superficial	CL:0000575	corneal epithelial cell	DOI:10.1073/pnas.2200914119	d967b47c-a9e6-4337-b2f4-977f690cb67f_cxg_dataset_unique	{'name': 'K_Epi-Superficial', 'full_name': 'corneal superficial epithelial cell', 'paper_synonyms': 'superficial-most squamous epithelial cells', 'tissue_context': ''}	CL:0000575	corneal epithelial cell	TRUE
K_Epi-Wing	CL:0000575	corneal epithelial cell	DOI:10.1073/pnas.2200914119	d967b47c-a9e6-4337-b2f4-977f690cb67f_cxg_dataset_unique	{'name': 'K_Epi-Wing', 'full_name': 'corneal epithelial wing cell', 'paper_synonyms': 'wing cells; polygonal suprabasal cells', 'tissue_context': ''}	CL:0000575	corneal epithelial cell	TRUE
K_Fibro	CL:0000057	fibroblast	DOI:10.1073/pnas.2200914119	d967b47c-a9e6-4337-b2f4-977f690cb67f_cxg_dataset_unique	{'name': 'K_Fibro', 'full_name': 'corneal fibroblasts', 'paper_synonyms': 'K_Fibro; stromal keratocytes', 'tissue_context': ''}	CL:0002363	keratocyte	FALSE
Limbal_Epi-Basal	CL:0000646	basal cell	DOI:10.1073/pnas.2200914119	d967b47c-a9e6-4337-b2f4-977f690cb67f_cxg_dataset_unique	{'name': 'Limbal_Epi-Basal', 'full_name': 'limbal epithelial basal cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000575	corneal epithelial cell	FALSE
Limbal_Epi-Superficial	CL:0000646	basal cell	DOI:10.1073/pnas.2200914119	d967b47c-a9e6-4337-b2f4-977f690cb67f_cxg_dataset_unique	{'name': 'Limbal_Epi-Superficial', 'full_name': 'limbal superficial epithelial cell', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000575	corneal epithelial cell	FALSE
Limbal_Epi-Wing	CL:0000646	basal cell	DOI:10.1073/pnas.2200914119	d967b47c-a9e6-4337-b2f4-977f690cb67f_cxg_dataset_unique	{'name': 'Limbal_Epi-Wing', 'full_name': 'limbal epithelial wing cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000575	corneal epithelial cell	FALSE
Lymphatic_Endo	CL:0002138	endothelial cell of lymphatic vessel	DOI:10.1073/pnas.2200914119	d967b47c-a9e6-4337-b2f4-977f690cb67f_cxg_dataset_unique	{'name': 'Lymphatic_Endo', 'full_name': 'lymphatic endothelium', 'paper_synonyms': 'conjunctival lymphatic endothelium', 'tissue_context': ''}	CL:0002138	endothelial cell of lymphatic vessel	TRUE
Lymphocyte	CL:0000542	lymphocyte	DOI:10.1073/pnas.2200914119	d967b47c-a9e6-4337-b2f4-977f690cb67f_cxg_dataset_unique	{'name': 'Lymphocyte', 'full_name': 'lymphocyte', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000542	lymphocyte	TRUE
Macrophage	CL:0000235	macrophage	DOI:10.1073/pnas.2200914119	d967b47c-a9e6-4337-b2f4-977f690cb67f_cxg_dataset_unique	{'name': 'Macrophage', 'full_name': 'macrophage', 'paper_synonyms': 'Mo; clump cells', 'tissue_context': ''}	CL:0000235	macrophage	TRUE
