annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label
AntiB	CL:0000786	plasma cell	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'AntiB', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000786	plasma cell
C-Hepato	CL:0019029	centrilobular region hepatocyte	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'C-Hepato', 'full_name': None, 'paper_synonyms': None, 'tissue_context': None}	CL:0000182	hepatocyte
C-Hepato2	CL:0019029	centrilobular region hepatocyte	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'C-Hepato2', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000182	hepatocyte
CD3T-lrNK	CL:2000054	hepatic pit cell	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'CD3T-lrNK', 'full_name': None, 'paper_synonyms': None, 'tissue_context': None}	CL:4047101	liver-resident natural killer cell
Chol	CL:0002538	intrahepatic cholangiocyte	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'Chol', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:1000488	cholangiocyte
CholMucus	CL:0002538	intrahepatic cholangiocyte	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'CholMucus', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:4047056	large mucus secreting cholangiocyte
I-Hepato	CL:0019028	midzonal region hepatocyte	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'I-Hepato', 'full_name': None, 'paper_synonyms': None, 'tissue_context': None}	CL:0000182	hepatocyte
MHCII	CL:0000235	macrophage	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'MHCII', 'full_name': None, 'paper_synonyms': None, 'tissue_context': None}	CL:0000145	professional antigen presenting cell
NKT	CL:0000623	natural killer cell	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'NKT', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000814	mature NK T cell
P-Hepato	CL:0019026	periportal region hepatocyte	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'P-Hepato', 'full_name': None, 'paper_synonyms': None, 'tissue_context': None}	CL:0000182	hepatocyte
P-Hepato2	CL:0019026	periportal region hepatocyte	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'P-Hepato2', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000182	hepatocyte
cvEndo	CL:0002543	vein endothelial cell	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'cvEndo', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:4033061	endothelial cell of central vein of liver
lrNK	CL:2000054	hepatic pit cell	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'lrNK', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:4047101	liver-resident natural killer cell
