annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label
BEST4+	CL:4030026	BEST4+ enterocyte	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'BEST4+', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:4030026	BEST4+ enterocyte
BEST4+	CL:0002254	epithelial cell of small intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'BEST4+', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:4030026	BEST4+ enterocyte
C_BEST4	CL:4030026	BEST4+ enterocyte	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_BEST4', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:4030026	BEST4+ enterocyte
C_EEC	CL:0009042	enteroendocrine cell of colon	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_EEC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000164	enteroendocrine cell
C_ISC	CL:0009043	intestinal crypt stem cell of colon	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_ISC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0002250	intestinal crypt stem cell
C_TA	CL:0009011	transit amplifying cell of colon	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_TA', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0009010	transit amplifying cell
C_earlyACC	CL:0002071	enterocyte of epithelium of large intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_earlyACC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:4047018	early colonocyte
C_earlyCC	CL:0002071	enterocyte of epithelium of large intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_earlyCC', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:4047018	early colonocyte
C_goblet	CL:0009039	colon goblet cell	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_goblet', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000160	goblet cell
C_lateACC	CL:0002071	enterocyte of epithelium of large intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_lateACC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000622	acinar cell
C_lateCC	CL:0002071	enterocyte of epithelium of large intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_lateCC', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000064	ciliated cell
C_secretory_prog	CL:0011026	progenitor cell	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_secretory_prog', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0011026	progenitor cell
C_tuft	CL:0009041	tuft cell of colon	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'C_tuft', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0002204	tuft cell
EEC	CL:0009042	enteroendocrine cell of colon	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'EEC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000164	enteroendocrine cell
EEC	CL:0009006	enteroendocrine cell of small intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'EEC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000164	enteroendocrine cell
FAE	CL:1000353	microfold cell of epithelium of small intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'FAE', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:4052011	follicle associated enterocyte
ISC	CL:0009043	intestinal crypt stem cell of colon	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'ISC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0002250	intestinal crypt stem cell
ISC	CL:0009017	intestinal crypt stem cell of small intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'ISC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0002250	intestinal crypt stem cell
SI_6-?	CL:1000334	enterocyte of epithelium of small intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'SI_6-?', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	NO MATCH found	
SI_AE2	CL:1000334	enterocyte of epithelium of small intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'SI_AE2', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found	
SI_BEST4	CL:0002254	epithelial cell of small intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'SI_BEST4', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:4047051	small intestine BEST4+ enterocyte
SI_EEC	CL:0009006	enteroendocrine cell of small intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'SI_EEC', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0009006	enteroendocrine cell of small intestine
SI_FAE	CL:1000353	microfold cell of epithelium of small intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'SI_FAE', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:4052011	follicle associated enterocyte
SI_ISC	CL:0009017	intestinal crypt stem cell of small intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'SI_ISC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0009017	intestinal crypt stem cell of small intestine
SI_TA	CL:0009012	transit amplifying cell of small intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'SI_TA', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0009012	transit amplifying cell of small intestine
SI_TA2	CL:0009012	transit amplifying cell of small intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'SI_TA2', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0009012	transit amplifying cell of small intestine
SI_earlyAE	CL:1000334	enterocyte of epithelium of small intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'SI_earlyAE', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:4047019	early enterocyte
SI_goblet	CL:1000495	small intestine goblet cell	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'SI_goblet', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:1000495	small intestine goblet cell
SI_intermAE	CL:1000334	enterocyte of epithelium of small intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'SI_intermAE', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:1000334	enterocyte of epithelium of small intestine
SI_matureAE	CL:1000334	enterocyte of epithelium of small intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'SI_matureAE', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:1000334	enterocyte of epithelium of small intestine
SI_paneth	CL:1000343	paneth cell of epithelium of small intestine	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'SI_paneth', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:1000343	paneth cell of epithelium of small intestine
SI_secretory	CL:1000495	small intestine goblet cell	DOI:10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068_cxg_dataset_unique	{'name': 'SI_secretory', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:1001598	small intestine secretory cell
