annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label
Astrocytes	CL:0000127	astrocyte	DOI:10.1007/s00401-023-02599-5	0bc7235a-ae5a-479d-a487-510435377e55_cxg_dataset_unique	{'name': 'Astrocytes', 'full_name': 'astrocytes', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000127	astrocyte
Endo/Pericytes	CL:0000115	endothelial cell	DOI:10.1007/s00401-023-02599-5	0bc7235a-ae5a-479d-a487-510435377e55_cxg_dataset_unique	{'name': 'Endo/Pericytes', 'full_name': 'endothelial cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000115	endothelial cell
Excitatory_1	CL:0000540	neuron	DOI:10.1007/s00401-023-02599-5	0bc7235a-ae5a-479d-a487-510435377e55_cxg_dataset_unique	{'name': 'Excitatory_1', 'full_name': 'excitatory neuron', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000679	glutamatergic neuron
Excitatory_10	CL:0000540	neuron	DOI:10.1007/s00401-023-02599-5	0bc7235a-ae5a-479d-a487-510435377e55_cxg_dataset_unique	{'name': 'Excitatory_10', 'full_name': 'excitatory neuron 10', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000679	glutamatergic neuron
Excitatory_2	CL:0000540	neuron	DOI:10.1007/s00401-023-02599-5	0bc7235a-ae5a-479d-a487-510435377e55_cxg_dataset_unique	{'name': 'Excitatory_2', 'full_name': 'excitatory neurons', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000679	glutamatergic neuron
Excitatory_3	CL:0000540	neuron	DOI:10.1007/s00401-023-02599-5	0bc7235a-ae5a-479d-a487-510435377e55_cxg_dataset_unique	{'name': 'Excitatory_3', 'full_name': 'excitatory neuron', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000679	glutamatergic neuron
Excitatory_4	CL:0000540	neuron	DOI:10.1007/s00401-023-02599-5	0bc7235a-ae5a-479d-a487-510435377e55_cxg_dataset_unique	{'name': 'Excitatory_4', 'full_name': 'excitatory neurons', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000679	glutamatergic neuron
Excitatory_5	CL:0000540	neuron	DOI:10.1007/s00401-023-02599-5	0bc7235a-ae5a-479d-a487-510435377e55_cxg_dataset_unique	{'name': 'Excitatory_5', 'full_name': 'excitatory neuron', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000679	glutamatergic neuron
Excitatory_6	CL:0000540	neuron	DOI:10.1007/s00401-023-02599-5	0bc7235a-ae5a-479d-a487-510435377e55_cxg_dataset_unique	{'name': 'Excitatory_6', 'full_name': 'excitatory neuron 6', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000679	glutamatergic neuron
Excitatory_7	CL:0000540	neuron	DOI:10.1007/s00401-023-02599-5	0bc7235a-ae5a-479d-a487-510435377e55_cxg_dataset_unique	{'name': 'Excitatory_7', 'full_name': 'excitatory neuron 7', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000679	glutamatergic neuron
Excitatory_8	CL:0000540	neuron	DOI:10.1007/s00401-023-02599-5	0bc7235a-ae5a-479d-a487-510435377e55_cxg_dataset_unique	{'name': 'Excitatory_8', 'full_name': 'excitatory neurons', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000679	glutamatergic neuron
Excitatory_9	CL:0000540	neuron	DOI:10.1007/s00401-023-02599-5	0bc7235a-ae5a-479d-a487-510435377e55_cxg_dataset_unique	{'name': 'Excitatory_9', 'full_name': 'excitatory neuron 9', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000679	glutamatergic neuron
Inhibitory_1	CL:0000540	neuron	DOI:10.1007/s00401-023-02599-5	0bc7235a-ae5a-479d-a487-510435377e55_cxg_dataset_unique	{'name': 'Inhibitory_1', 'full_name': 'inhibitory neuron', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000617	GABAergic neuron
