annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label	result
AntiB	CL:0000786	plasma cell	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'AntiB', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000946	antibody secreting cell	FALSE
C-Hepato	CL:0019029	centrilobular region hepatocyte	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'C-Hepato', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000182	hepatocyte	FALSE
C-Hepato2	CL:0019029	centrilobular region hepatocyte	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'C-Hepato2', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000182	hepatocyte	FALSE
CD4T	CL:0000624	CD4-positive, alpha-beta T cell	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'CD4T', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000624	CD4-positive, alpha-beta T cell	TRUE
Chol	CL:0002538	intrahepatic cholangiocyte	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'Chol', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:1000488	cholangiocyte	FALSE
Chol--Kupffer-Doublet	unknown	unknown	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'Chol--Kupffer-Doublet', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:1000488	cholangiocyte	FALSE
Chol--Stellate-Doublet	unknown	unknown	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'Chol--Stellate-Doublet', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:1000488	cholangiocyte	FALSE
Chol-Doublet	unknown	unknown	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'Chol-Doublet', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:1000488	cholangiocyte	FALSE
CholMucus	CL:0002538	intrahepatic cholangiocyte	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'CholMucus', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:1000488	cholangiocyte	FALSE
Fibroblast	CL:0000057	fibroblast	DOI:10.1016/j.jhep.2023.12.023	1873a18a-66fd-4a4d-8277-a872c93f5b59_cxg_dataset_unique	{'name': 'Fibroblast', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000057	fibroblast	TRUE
