annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label	result
CNT	CL:1000768	kidney connecting tubule epithelial cell	DOI:10.1038/s41467-021-22368-w	9df60c57-fdf3-4e93-828e-fe9303f20438_cxg_dataset_unique	{'name': 'CNT', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:1000768	kidney connecting tubule epithelial cell	TRUE
DCT1	CL:1000849	kidney distal convoluted tubule epithelial cell	DOI:10.1038/s41467-021-22368-w	9df60c57-fdf3-4e93-828e-fe9303f20438_cxg_dataset_unique	{'name': 'DCT1', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:4030016	epithelial cell of early distal convoluted tubule	FALSE
DCT2	CL:1000849	kidney distal convoluted tubule epithelial cell	DOI:10.1038/s41467-021-22368-w	9df60c57-fdf3-4e93-828e-fe9303f20438_cxg_dataset_unique	{'name': 'DCT2', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:4030017	epithelial cell of late distal convoluted tubule	FALSE
ENDO	CL:1000892	kidney capillary endothelial cell	DOI:10.1038/s41467-021-22368-w	9df60c57-fdf3-4e93-828e-fe9303f20438_cxg_dataset_unique	{'name': 'ENDO', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000115	endothelial cell	FALSE
FIB	CL:0000057	fibroblast	DOI:10.1038/s41467-021-22368-w	9df60c57-fdf3-4e93-828e-fe9303f20438_cxg_dataset_unique	{'name': 'FIB', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000057	fibroblast	TRUE
ICA	CL:0005011	renal alpha-intercalated cell	DOI:10.1038/s41467-021-22368-w	9df60c57-fdf3-4e93-828e-fe9303f20438_cxg_dataset_unique	{'name': 'ICA', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0005011	renal alpha-intercalated cell	TRUE
ICB	CL:0002201	renal beta-intercalated cell	DOI:10.1038/s41467-021-22368-w	9df60c57-fdf3-4e93-828e-fe9303f20438_cxg_dataset_unique	{'name': 'ICB', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0002201	renal beta-intercalated cell	TRUE
LEUK	CL:0000738	leukocyte	DOI:10.1038/s41467-021-22368-w	9df60c57-fdf3-4e93-828e-fe9303f20438_cxg_dataset_unique	{'name': 'LEUK', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000738	leukocyte	TRUE
MES	CL:0000650	mesangial cell	DOI:10.1038/s41467-021-22368-w	9df60c57-fdf3-4e93-828e-fe9303f20438_cxg_dataset_unique	{'name': 'MES', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000650	mesangial cell	TRUE
PC	CL:0005009	renal principal cell	DOI:10.1038/s41467-021-22368-w	9df60c57-fdf3-4e93-828e-fe9303f20438_cxg_dataset_unique	{'name': 'PC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0005009	renal principal cell	TRUE
PEC	CL:1000452	parietal epithelial cell	DOI:10.1038/s41467-021-22368-w	9df60c57-fdf3-4e93-828e-fe9303f20438_cxg_dataset_unique	{'name': 'PEC', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:1000452	parietal epithelial cell	TRUE
PODO	CL:0000653	podocyte	DOI:10.1038/s41467-021-22368-w	9df60c57-fdf3-4e93-828e-fe9303f20438_cxg_dataset_unique	{'name': 'PODO', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000653	podocyte	TRUE
PT	CL:0002306	epithelial cell of proximal tubule	DOI:10.1038/s41467-021-22368-w	9df60c57-fdf3-4e93-828e-fe9303f20438_cxg_dataset_unique	{'name': 'PT', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0002306	epithelial cell of proximal tubule	TRUE
PT_VCAM1	CL:0002306	epithelial cell of proximal tubule	DOI:10.1038/s41467-021-22368-w	9df60c57-fdf3-4e93-828e-fe9303f20438_cxg_dataset_unique	{'name': 'PT_VCAM1', 'full_name': 'VCAM1', 'paper_synonyms': None, 'tissue_context': ''}	CL:0002306	epithelial cell of proximal tubule	TRUE
TAL	CL:1001106	kidney loop of Henle thick ascending limb epithelial cell	DOI:10.1038/s41467-021-22368-w	9df60c57-fdf3-4e93-828e-fe9303f20438_cxg_dataset_unique	{'name': 'TAL', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:1001106	kidney loop of Henle thick ascending limb epithelial cell	TRUE
