annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label	result
AEA-DVR	CL:1001285	vasa recta descending limb cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'AEA-DVR', 'full_name': 'afferent/efferent arterioles/descending vasa recta', 'paper_synonyms': 'AEA/DVR', 'tissue_context': ''}	CL:0000071	blood vessel endothelial cell	FALSE
AVR	CL:1001131	vasa recta ascending limb cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'AVR', 'full_name': 'ascending vasa recta', 'paper_synonyms': None, 'tissue_context': ''}	CL:1001131	vasa recta ascending limb cell	TRUE
Bcell	CL:0000236	B cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'Bcell', 'full_name': 'B cells', 'paper_synonyms': None, 'tissue_context': ''}	CL:0000236	B cell	TRUE
CNT	CL:1001225	kidney collecting duct cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'CNT', 'full_name': 'connecting tubule', 'paper_synonyms': 'connecting duct', 'tissue_context': ''}	CL:1000768	kidney connecting tubule epithelial cell	FALSE
DCT	CL:1000849	kidney distal convoluted tubule epithelial cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'DCT', 'full_name': 'distal convoluted tubule', 'paper_synonyms': None, 'tissue_context': ''}	CL:1000849	kidney distal convoluted tubule epithelial cell	TRUE
DL	CL:1001285	vasa recta descending limb cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'DL', 'full_name': 'descending limb', 'paper_synonyms': None, 'tissue_context': ''}	CL:1001021	kidney loop of Henle descending limb epithelial cell	FALSE
GC	CL:1001005	glomerular capillary endothelial cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'GC', 'full_name': 'glomerular capillaries', 'paper_synonyms': None, 'tissue_context': ''}	CL:1001005	glomerular capillary endothelial cell	TRUE
IC-A	CL:0005011	renal alpha-intercalated cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'IC-A', 'full_name': 'intercalated cell A', 'paper_synonyms': None, 'tissue_context': ''}	CL:0005011	renal alpha-intercalated cell	TRUE
IC-B	CL:0002201	renal beta-intercalated cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'IC-B', 'full_name': 'intercalated cell B', 'paper_synonyms': None, 'tissue_context': ''}	CL:0002201	renal beta-intercalated cell	TRUE
IC-PC	CL:0000075	columnar/cuboidal epithelial cell	DOI:10.1073/pnas.2103240118	f801b7a9-80a6-4d09-9161-71474deb58ae_cxg_dataset_unique	{'name': 'IC-PC', 'full_name': 'intercalated cell–principal cell', 'paper_synonyms': 'transitional cell type between PC and IC cells', 'tissue_context': ''}	CL:0005010	renal intercalated cell	FALSE
