original_term,ontology_id,ontology_label,ontology_source,confidence_score,mapping_method
osteoclast differentiation,GO:0030316,osteoclast differentiation,GO,1.0,exact_match
NFATc1-mediated gene transcription,NO MATCH found,,,0.0,
NF-κB signaling,,,,0.0,
proliferation of myeloid precursors,GO:0035726,common myeloid progenitor cell proliferation,GO,0.9,partial_match
RANK receptor (TNFRSF11A),PR:000001954,tumor necrosis factor receptor superfamily member 11A,PR,1.0,exact_match
CSF1 receptor (c-FMS) complex,GO:1990682,CSF1-CSF1R complex,GO,1.0,exact_match
ITAM signal transduction,GO:0007165,signal transduction,GO,0.9,partial_match
osteoclast precursor cell fusion,GO:0072675,osteoclast fusion,GO,0.95,exact_match
osteoclast migration and resorption,GO:0045453,bone resorption,GO,0.85,partial_match
DAP12 (TYROBP) adaptor complex,NO MATCH found,No label found,N/A,0.0,No suitable match found after exhaustive query across multiple ontologies.
dephosphorylation of bone matrix proteins,GO:0006470,protein dephosphorylation,GO,0.8,partial_match
acidification of resorption lacuna,GO:0007035,vacuolar acidification,GO,0.7,partial_match
mineralized bone matrix resorption,GO:0045453,bone resorption,GO,0.9,exact_match
bone extracellular matrix,UBERON:4000020,mineralized extracellular matrix,UBERON,0.9,exact_match
