input_name	text	cl_id	cl_label
EC	endothelial cell	CL:0000115	endothelial cell
EC	EC	CL:0000115	endothelial cell
mesothelial cell	mesothelial cell	CL:0000077	mesothelial cell
mesothelial cell	mesothelial cell	CL:0000077	mesothelial cell
SMC	smooth muscle cell	CL:0000192	smooth muscle cell
SMC	SMC	CL:0000192	smooth muscle cell
ECs	endothelial cell	CL:0000115	endothelial cell
ECs	EC	CL:0000115	endothelial cell
mesothelial cells	mesothelial cell	CL:0000077	mesothelial cell
mesothelial cells	mesothelial cell	CL:0000077	mesothelial cell
SMCs	smooth muscle cell	CL:0000192	smooth muscle cell
SMCs	SMC	CL:0000192	smooth muscle cell
retinal pigment epithelium	retinal pigment epithelium	CL:0002586	retinal pigment epithelial cell
retinal pigment epithelium	retinal pigment epithelium	CL:0002586	retinal pigment epithelial cell
RPE	retinal pigment epithelium	CL:0002586	retinal pigment epithelial cell
RPE	RPE	CL:0002586	retinal pigment epithelial cell
Muller cells	Müller cell	CL:0000636	Mueller cell
Muller cells	Muller cell	CL:0000636	Mueller cell
photoreceptor	photoreceptor cell	CL:0000210	photoreceptor cell
photoreceptor	photoreceptor	CL:0000210	photoreceptor cell
Muller glia	Müller glial cell	CL:0000636	Mueller cell
Muller glia	Muller glial cell	CL:0000636	Mueller cell
NK/T cells	natural killer/T cell	CL:0000814	mature NK T cell
NK/T cells	NK/T cell	CL:0000814	mature NK T cell
endothelial cells	endothelial cell	CL:0000115	endothelial cell
endothelial cells	endothelial cell	CL:0000115	endothelial cell
plasma cells	plasma cell	CL:0000786	plasma cell
plasma cells	plasma cell	CL:0000786	plasma cell
osteoblastic cells	osteoblastic cell	CL:0000062	osteoblast
osteoblastic cells	osteoblastic cell	CL:0000062	osteoblast
osteoclasts	osteoclast	CL:0000092	osteoclast
osteoclasts	osteoclast	CL:0000092	osteoclast
B cells	B cell	CL:0000236	B cell
B cells	B cell	CL:0000236	B cell
monocytes	monocyte	CL:0000576	monocyte
monocytes	monocyte	CL:0000576	monocyte
mast cells	mast cell	CL:0000097	mast cell
mast cells	mast cell	CL:0000097	mast cell
myeloid cells	myeloid cell	CL:0000763	myeloid cell
myeloid cells	myeloid cell	CL:0000763	myeloid cell
MSG acinar, ductal, myoepithelial, and adipose cells	minor salivary gland acinar, ductal, myoepithelial, and adipose cell	NO MATCH found	
MSG acinar, ductal, myoepithelial, and adipose cells	MSG acinar, ductal, myoepithelial, and adipose cell	NO MATCH found	
Macrophages	Macrophage	CL:0000235	macrophage
embryonic haematopoietic progenitors	embryonic haematopoietic progenitor	CL:0000837	hematopoietic multipotent progenitor cell
monocytes	monocyte	CL:0000576	monocyte
tissue macrophages	tissue macrophage	CL:0000864	tissue-resident macrophage
T cells	T cell	CL:0000084	T cell
epithelial cells	epithelial cell	CL:0000066	epithelial cell
