annotation_text	cl_id	cl_label	article_id_pmc	enrichment	grounding_cl_id	grounding_cl_label	result
MSCs	CL:0000134	mesenchymal stem cell	10023793	{'name': 'MSCs', 'full_name': 'mesenchymal stem/stromal cells', 'paper_synonyms': 'mesenchymal stem cells; mesenchymal stromal cells', 'tissue_context': 'bone marrow'}	CL:0002540	mesenchymal stem cell of the bone marrow	FALSE
MSC	CL:0000134	mesenchymal stem cell	10023793	{'name': 'MSC', 'full_name': 'mesenchymal stem/stromal cell', 'paper_synonyms': 'mesenchymal stem/stromal cells; mesenchymal stem cells; mesenchymal stromal cells', 'tissue_context': 'bone marrow'}	CL:0002540	mesenchymal stem cell of the bone marrow	FALSE
cBMSCs	CL:0010001	stromal cell of bone marrow	10023793	{'name': 'cBMSCs', 'full_name': 'clonal bone marrow stem (stromal) cells', 'paper_synonyms': 'clonal human bone marrow MSCs; clonal BMSCs', 'tissue_context': 'bone marrow'}	CL:0002540	mesenchymal stem cell of the bone marrow	FALSE
T cells	CL:0000084	T cell	10068448	{'name': 'T cells', 'full_name': None, 'paper_synonyms': None, 'tissue_context': 'PDAC tumor tissue; peripheral blood'}	CL:0000084	T cell	TRUE
CD4+ T cells	CL:0000624	CD4-positive, alpha-beta T cell	10068448	{'name': 'CD4+ T cells', 'full_name': None, 'paper_synonyms': None, 'tissue_context': 'PDAC tumor tissue; PBMC; TIL'}	CL:0000624	CD4-positive, alpha-beta T cell	TRUE
CCR6+CD161+ Th17	CL:0000899	T-helper 17 cell	10068448	{'name': 'CCR6+CD161+ Th17', 'full_name': 'CCR6 + CD161 + Th17 phenotype', 'paper_synonyms': None, 'tissue_context': 'PDAC tumors; TIL; PBMC'}	CL:0000899	T-helper 17 cell	TRUE
activated regulatory T-cell	CL:0000902	induced T-regulatory cell	10068448	{'name': 'activated regulatory T-cell', 'full_name': None, 'paper_synonyms': 'Treg', 'tissue_context': 'PDAC tumors; PBMC; TIL'}	CL:0000815	regulatory T cell	FALSE
T-cell	CL:0000084	T cell	10068448	{'name': 'T-cell', 'full_name': None, 'paper_synonyms': None, 'tissue_context': 'PDAC tumor tissue; peripheral blood'}	CL:0000084	T cell	TRUE
cardiomyocytes	CL:0000746	cardiac muscle cell	10150206	{'name': 'cardiomyocytes', 'full_name': 'cardiomyocytes', 'paper_synonyms': 'CMs', 'tissue_context': 'human atria'}	CL:0000746	cardiac muscle cell	TRUE
macrophage	CL:0000235	macrophage	10155691	{'name': 'macrophage', 'full_name': 'macrophage', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000235	macrophage	TRUE
oocytes	CL:0000023	oocyte	10029192	{'name': 'oocytes', 'full_name': 'oocytes', 'paper_synonyms': None, 'tissue_context': 'human oocytes'}	CL:0000023	oocyte	TRUE
