annotation_text	cl_id	article_id_pmc	grounding_cl_id	grounding_cl_label	enrichment	result
EC	CL:0000115	10597444	CL:0000115	endothelial cell		TRUE
mesothelial cell	CL:0000077	10597444	CL:0000077	mesothelial cell		TRUE
SMC	CL:0000192	10597444	CL:0000192	smooth muscle cell		TRUE
ECs	CL:0000115	10597444	CL:0000115	endothelial cell		TRUE
mesothelial cells	CL:0000077	10597444	CL:0000077	mesothelial cell		TRUE
SMCs	CL:0000192	10597444	CL:0000192	smooth muscle cell		TRUE
retinal pigment epithelium	CL:0002586	10530494	CL:0002586	retinal pigment epithelial cell		TRUE
RPE	CL:0002586	10530494	CL:0002586	retinal pigment epithelial cell		TRUE
Muller cells	CL:0000636	10530494	CL:0000636	Mueller cell		TRUE
photoreceptor	CL:0010009	10530494	CL:0000210	photoreceptor cell		FALSE
Muller glia	CL:0000636	10530494	CL:0000636	Mueller cell		TRUE
NK/T cells	CL:0000814	10292890	CL:0000814	mature NK T cell		TRUE
endothelial cells	CL:0000115	10292890	CL:0000115	endothelial cell		TRUE
plasma cells	CL:0000786	10292890	CL:0000786	plasma cell		TRUE
osteoblastic cells	CL:0000062	10292890	NO MATCH found			FALSE
osteoclasts	CL:0000092	10292890	CL:0000092	osteoclast		TRUE
B cells	CL:0000236	10292890	CL:0000236	B cell		TRUE
monocytes	CL:0000576	10292890	CL:0000576	monocyte		TRUE
mast cells	CL:0000097	10292890	CL:0000097	mast cell		TRUE
myeloid cells	CL:0000763	10292890	CL:0000763	myeloid cell		TRUE
MSG acinar, ductal, myoepithelial, and adipose cells	CL:0002623	10626587	CL:0002623	acinar cell of salivary gland		TRUE
Macrophages	CL:0000235	10656691	CL:0000235	macrophage		TRUE
embryonic haematopoietic progenitors	CL:0002352	10656691	CL:0000049	common myeloid progenitor		FALSE
monocytes	CL:0000576	10656691	CL:0000576	monocyte		TRUE
tissue macrophages	CL:0000864	10656691	CL:0000864	tissue-resident macrophage		TRUE
T cells	CL:0000084	10656691	CL:0000084	T cell		TRUE
epithelial cells	CL:0000066	10656691	CL:0000066	epithelial cell		TRUE
MSCs	CL:0000134	10023793	CL:0000134	mesenchymal stem cell		TRUE
MSC	CL:0000134	10023793	CL:0000134	mesenchymal stem cell		TRUE
Inactive Treg cells	CL:0000815	10367549	CL:0000815	regulatory T cell		TRUE
CD4+ T cells	CL:0000624	10068448	CL:0000492	CD4-positive helper T cell		FALSE
