annotation_text                                         	 Full_name annotation                                                 	 cl_id     	 cl_label                                                  	 grounding_cl_id	 grounding_cl_label                                               	 result	 article_id_pmc	 enrichment                                                                                                                                                                                                                                                                                                             	 grounding_MATCH	 Editor notes
photoreceptor                                           	 photoreceptor cells                                                  	 CL:0010009	 camera-type eye photoreceptor cell                        	 CL:0000210     	 photoreceptor cell                                               	 FALSE 	       10530494	 {'name': 'photoreceptor', 'full_name': 'photoreceptor cells', 'paper_synonyms': 'photoreceptors; photoreceptor cells', 'tissue_context': 'retina; photoreceptor outer segments (OSs); photoreceptor inner segments (ISs); outer nuclear layer (ONL)'}                                                                  	   EXACT             	Noam's mapoping is more specific based on tissue context 
MSG acinar, ductal, myoepithelial, and adipose cells    	 minor salivary gland acinar, ductal, myoepithelial, and adipose cells	 CL:0002623	 acinar cell of salivary gland                             	 NO MATCH found 	                                                                  	 FALSE 	       10626587	 {'name': 'MSG acinar, ductal, myoepithelial, and adipose cells', 'full_name': 'minor salivary gland acinar, ductal, myoepithelial, and adipose cells', 'paper_synonyms': 'MSG', 'tissue_context': 'minor salivary gland (MSG) tissue'}                                                                                 	   NO MATCH FOUND             	    Weird grouping of cells as an input - the agent struggles to identify a cell type when multiple cell types are mentioned together 
embryonic haematopoietic progenitors                    	                                                                      	 CL:0002352	 gestational hematopoietic stem cell                       	 CL:0000837     	 hematopoietic multipotent progenitor cell                        	 FALSE 	       10656691	 {'name': 'embryonic haematopoietic progenitors', 'full_name': None, 'paper_synonyms': None, 'tissue_context': None}                                                                                                                                                                                                    	   WRONG            	 
MSCs                                                    	 mesenchymal stem/stromal cells                                       	 CL:0000134	 mesenchymal stem cell                                     	 CL:0002540     	 mesenchymal stem cell of the bone marrow                         	 FALSE 	       10023793	 {'name': 'MSCs', 'full_name': 'mesenchymal stem/stromal cells', 'paper_synonyms': 'mesenchymal stem cells; mesenchymal stromal cells', 'tissue_context': 'bone marrow'}                                                                                                                                                	   Narrow              	In this run, the tissue context was given to the agent, when I ran without giving tissue context, it provided exact matches
cBMSCs                                                  	 clonal bone marrow stem (stromal) cells                              	 CL:0010001	 stromal cell of bone marrow                               	 CL:0002540     	 mesenchymal stem cell of the bone marrow                         	 FALSE 	       10023793	 {'name': 'cBMSCs', 'full_name': 'clonal bone marrow stem (stromal) cells', 'paper_synonyms': 'clonal human bone marrow MSCs; clonal BMSCs', 'tissue_context': 'bone marrow'}                                                                                                                                           	   EXACT             	The term "mesenchymal stem cell of bone marrow would work. The full name was not expanded properly here     
activated regulatory T-cell                             	                                                                      	 CL:0000902	 induced T-regulatory cell                                 	 CL:0000815     	 regulatory T cell                                                	 FALSE 	       10068448	 {'name': 'activated regulatory T-cell', 'full_name': None, 'paper_synonyms': 'Treg', 'tissue_context': 'PDAC tumors; PBMC; TIL'}                                                                                                                                                                                       	   NTR?             	RS's mapping is not accurate
CGE                                                     	 Caudal Ganglionic Eminence                                           	 CL:4042039	 caudal ganglionic eminence derived neuron                 	 NO MATCH found 	                                                                  	 FALSE 	       10482700	 {'name': 'CGE', 'full_name': 'Caudal Ganglionic Eminence', 'paper_synonyms': 'Caudal Ganglionic Eminence', 'tissue_context': 'cerebral cortex; mouse cortex; human motor cortex'}                                                                                                                                      	                	 
Caudal Ganglionic Eminescence                           	                                                                      	 CL:4042039	 caudal ganglionic eminence derived neuron                 	 NO MATCH found 	                                                                  	 FALSE 	       10482700	 {'name': 'Caudal Ganglionic Eminescence', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}                                                                                                                                                                                                                 	                	 
GC                                                      	 Granule Cell                                                         	 CL:0000120	 granule cell                                              	 CL:0001031     	 cerebellar granule cell                                          	 FALSE 	       10482700	 {'name': 'GC', 'full_name': 'Granule Cell', 'paper_synonyms': 'Granule Cell', 'tissue_context': 'human cerebellum'}                                                                                                                                                                                                    	   EXACT             	Our mapping is more specific based on tissue context (I am pretty sure the agent gets influenced by the tissue context even if instructed to ignore it in some examples 
Granule Cell                                            	 Granule Cell                                                         	 CL:0000120	 granule cell                                              	 CL:0001031     	 cerebellar granule cell                                          	 FALSE 	       10482700	 {'name': 'Granule Cell', 'full_name': 'Granule Cell', 'paper_synonyms': 'GC', 'tissue_context': 'human cerebellum'}                                                                                                                                                                                                    	   EXACT             	Our mapping is more specific based on tissue context (I am pretty sure the agent gets influenced by the tissue context even if instructed to ignore it in some examples (Another run with no tissue context mentioned annotations=[TextAnnotation(input_name='GC\n', text='Granule Cell', cl_id='CL:0000120', cl_label='granule cell'), TextAnnotation(input_name='GC\n', text='GC', cl_id='CL:0000120', cl_label='granule cell')]           	 
MGE                                                     	 Medial Ganglionic Eminence                                           	 CL:4023063	 medial ganglionic eminence derived interneuron            	 CL:4023069     	 medial ganglionic eminence derived GABAergic cortical interneuron	 FALSE 	       10482700	 {'name': 'MGE', 'full_name': 'Medial Ganglionic Eminence', 'paper_synonyms': 'Medial Ganglionic Eminence', 'tissue_context': 'cerebral cortex; mouse cortex; human motor cortex'}                                                                                                                                      	   EXACT/more specific             	Our mapping is more specific based on tissue context (I am pretty sure the agent gets influenced by the tissue context even if instructed to ignore it in some examples
pit cells                                               	 central cells                                                        	 CL:0000352	 epiblast cell                                             	 NO MATCH found 	                                                                  	 FALSE 	       10314903	 {'name': 'pit cells', 'full_name': 'central cells', 'paper_synonyms': 'central cells', 'tissue_context': 'left–right organizer (LRO); embryonic node'}                                                                                                                                                                 	   NTR             	 
pit                                                     	                                                                      	 CL:0000352	 epiblast cell                                             	 NO MATCH found 	                                                                  	 FALSE 	       10314903	 {'name': 'pit', 'full_name': None, 'paper_synonyms': None, 'tissue_context': None}                                                                                                                                                                                                                                     	   NTR             	     
bronchoalveolar macrophage                              	 bronchoalveolar macrophage                                           	 CL:1001603	 lung macrophage                                           	 CL:0000583     	 alveolar macrophage                                              	 FALSE 	       10388518	 {'name': 'bronchoalveolar macrophage', 'full_name': 'bronchoalveolar macrophage', 'paper_synonyms': 'alveolar macrophage', 'tissue_context': 'bronchial wash (BW); bronchoalveolar lavage (BAL)'}                                                                                                                      	   Narrow             	 
unipotent estrogen receptor-negative luminal progenitors	 unipotent estrogen receptor-negative luminal progenitors             	 CL:4033057	 luminal adaptive secretory precursor cell of mammary gland	 CL:0009116     	 progenitor cell of mammary luminal epithelium                    	 FALSE 	       10576046	 {'name': 'unipotent estrogen receptor-negative luminal progenitors', 'full_name': 'unipotent estrogen receptor-negative luminal progenitors', 'paper_synonyms': None, 'tissue_context': 'mouse mammary gland'}                                                                                                         	                	 
