annotation	Shared Genes
Gliosis	SERPINE1, EMP1, SPOCD1, ARHGAP29, IL1R1, COL6A2, MYOF, F13A1, CXCL10, CHI3L1, MET, IL6, SAA2, BIRC3, MCTP2, ANGPTL4, ICAM1, CCN1, CAV1, APLN, FOSL1, SNTG2-AS1, TPD52L1, SAA4, KRT75, NFATC2, COL5A1, AC243829.2, CLCF1, ARSJ, PLA2G2A, HMGA2, PTX3, TLR2, LINC00698, ALPK2, TNFAIP3, TNFAIP2, NDRG1, SMOC2, ADGRL2, KANK4, GEM, FAS, CXCL8, CFH, ABCC3, CXCL14, ZFP36, RCAN2, GADD45A, COL1A2, LTF, DHRS3, IDO1, HAP1, AXL, ATP6V0D2, KLF5, ST6GALNAC5, GPD1, PAPPA2, BAG3, MYBPH, MYBPC1, MX2, APBB1IP, ANPEP, ALPL, GPRC5A, SPP1, CXCL2, GPC5, RRAD, LIF, CHRNA9, IL4R, NPNT, SAA1, NPR3, PROM1, SLIT3, ITGBL1, MYO5B, RPS5, RPS27, ETS2, PTGS2, RPS18, BNC2, CPA4, NPAS2, CD274, SLC10A6, LRAT, LINC01993, LINC02832, LINC02821, GBP5, AC021851.2, AKAP12, LINC02154, FN1, MIR222HG, VEGFA, GBP2, ZNF735, TSHZ2, TRPM2, LUCAT1, PI3
OPC-AC-like 1	LINC01727, AC117464.1, XYLT1, MMD2, EEPD1, AC013265.1, MYO5B, PLA2G4A, KCNIP1, ITGB4, AC019068.1, UNC5D, MIR3681HG, LINC02125, LINC02246, LRRC4C, LUCAT1, MDGA2, AC077690.1, CTXND1, AL353138.1, CDH18, MN1, AL356737.2, NKAIN3, CD44, NLRC5, LINC01776, LINC01117, DAB1, GFAP, DCHS2, DIPK1C, COL20A1, ELMOD1, ERICH3, ADAMTS5, GPC5, CHST8, AC233296.1, AC124254.2, NPR3, HRH1, INPP4B, AL159156.1, LINC02328, ARC, PDZRN4, AC007344.1, RGMA, PPARGC1A, TNR, ST8SIA5, ST8SIA1, SLC7A11
NPC-neuronal-like 1	CFAP43, NEGR1, DNAH12, LRRC2, VAT1L, ZNF804B, RBMS3, SLC14A1, GABRA5, ZBBX, ADAMTS18, CFAP52, GRM1, MAP3K19, FHAD1, TCTEX1D1, DNAAF1, DCDC2, AC005165.1, COL21A1, PKHD1, ZNF521, EPB41L4B, ERICH3, PLAGL1, EXPH5, SHISAL2B, SATB1-AS1, RERGL, FRMPD2, TOGARAM2, AP003062.2, BMP6, NRG3, CFAP61, FAM81B, SLC47A2, TMEM232, NWD2, AC109466.1, GABRG3, DTHD1, COL13A1, COL23A1, CFAP73, RFTN1, FYB2, POSTN, AL513323.1, BANK1, CHD5, THBS1, ADCY8, ADGB, AFF2, DRC1, CFAP206, CFAP47, PPM1H, KIAA2012, MAP7, KSR2, DNAH5, LYPD6B, WSCD2, CACNA2D1, LRRIQ1, CPNE4, LINC01088, SCIN, PRMT8, LINGO2, CASC1, CCDC170, AC092110.1, VWA3A, CA10, AC013470.2, SLC22A3, GRM4, COL26A1, CFAP221, CFAP157, TTC29, C7orf57, HMCN1, CFAP100, U91319.1, RSPH1, NAALAD2, IL6R, CDH7, KCNJ3, AL356108.1
NPC-neuronal-like 2	FSTL4, LRFN5, TRPM3, NDST4, PALMD, ADRA1B, PDE1A, CLVS1, SLC17A6, ACVR1C, SLA, EBF1, AC011474.1, FRMPD4, KIT, UNC5D, GCG, TRPC5, CDH9, TARID, LINC01033, AC109492.1, AL596087.2, SHISA6, POSTN, PLSCR2, CDH18, PALM2-AKAP2, CDH13, SMOC2, CPNE4, CUX2, RNF149, TENM2, MARCH4, HS3ST2, GRIN2A, RUNX1T1, AL158064.1, EFNA5, GRIP2, PRSS12, GREM2, RASGEF1B, TAFA2, FGD4, SERPINI1, RBFOX1, SEMA3C, ADAMTS3, CNTNAP4, BRINP1, CNTN5, LINC01344, MYT1L, MTAP, SLC38A11, MN1, MIR3681HG, SV2B, CARMIL1, ZDHHC23, LINC02607, OTOR, CLEC2L, PAPPA2, LINC01949, LINC00862, U91319.1, IQCJ-SCHIP1, KCNJ6, CFAP299, SIAH3, PDZRN4, LIN28B, AC063979.2, DYNC1I1, CCK, SCG2, SIDT1, CDH4, DPP10, SAMD5, SNCA, COL3A1, COL6A3, EBF2, LINC02378, KLHL29, PIP5K1B, LINC00470, LINC00707, PDE1C, LINC01965, LINGO2, EDA, NYAP2, NWD2, NOX3, MOXD1, MSC-AS1, NEDD4L, KIAA0319, KCNC2, POU6F2, IGFBPL1, PPEF1, PRDM6, GPR1, SRRM4, GFRA1, GABBR2, FSTL5, FRAS1, FGFR2, FAP, RIMBP2, RPH3A, EDIL3, GLRA2, NDNF, SYNPR, AC002454.1, AC003044.1, WSCD2, ANO4, AP003464.1, VWC2L, VSTM2B, ARHGAP18, TMEM130, TGFBI, AC244502.1, SYT1, UNC5C, VWDE
AC-gliosis-like 1	AQP1, ANOS1, LIX1, CD38, RASL12, KCNN3, SERPINA3, GFAP, FAM189A2, BBOX1, NPSR1, ITPKB, CFI, LINC01094, ID3, FBLN5, CFAP54, DAAM2, ADAMTS8, GGT5, SLC14A1, RPE65, MASP1, SLCO1C1, AC092131.1, ITGB4, LRRC2, STUM, SPON1, CD44, ATP1A2, AQP4, ALDH1L1, CRB2, FAM107A, GJA1, ETNPPL, AC103923.1, ZFP36, RFTN1, EDNRA, HAS2, ADAMTS15, MARVELD3, OBI1-AS1, PAPLN, ID4, HRH1, HCG22, DRC1, PTCHD1, PTPRT, GALNT15, FHAD1, SLC44A3, F3, COL28A1, EDNRB, ACSBG1, ABCA13, WDR49, XAF1, ABCC3, AC092924.2, AC002429.2, WWC1, TIMP3, AGT, SLC24A4, HOPX, CABCOCO1, CHI3L2, C3, MYBPC1, ADGRV1, LINC02234, GPR37L1, AL591686.2, TCTEX1D1, TTYH1, TC2N, LINC00844, AL355306.2, AC073941.1, NMB, PDGFRB, BCAN, EGF, DCHS2, PFKFB3, AC117464.1, SCN7A, COLEC12, OSMR, C21orf62, LTF, BMPR1B, ATP13A4, IGFBP7
AC-neuronal-like	LINC02235, AC037486.1, PCDH11X, LINC01829, AL591043.2, ZNF423, ADAMTS18, AL133538.1, DOCK2, SCN1A-AS1, AL022068.1, SEPTIN14, SGCZ, ADAM28, RYR2, DOCK8, ACER2, AC128687.3, AC120193.1, OLR1, AC110296.1, AC109466.1, SPOCK3, ST6GALNAC5, AL136441.1, MLIP, AL158077.2, AP001021.3, CCDC85A, CD96, NRK, C8orf37-AS1, PCDH7, PLD1, CHRNA7, CLRN1, MYO1D, RMST, CNTNAP2, PURPL, RALYL, AL445426.1, RCAN2, AL392023.2, RELN, AL360091.3, AC091946.1, LRRIQ1, CD163, SYN3, IL1RAPL1, LINC01122, LINC01091, AC009126.1, LINC00944, LINC01467, LINC01725, KCNH7, AC069228.1, GNA14-AS1, KCNIP4, LINC00504, AC006299.1, TPRG1, AC003092.1, AC083855.2, FXYD5, SYK, XK, LINC02006, KLF5, WNT16, NIBAN1, LINC00355, LINC01135, MSR1, MT2A, LINC00299, MX2, NLGN4X, LINC00886, LINC00607, NHSL2, MYO1E, NKAIN2, NIPAL2, MYO1F, LINC01163, NCMAP, NHS, MYRFL, LINC02234, LINC01182, LINC01923, LINC02246, LINC02300, LINC02306, LINC02378, LINC02664, LINC02775, LINC02798, LINC02821, LMNTD1, LRRTM4, LURAP1L-AS1, LINC01934, LY96, MAP3K6, LINC01877, LINC01208, LINC01876, MCTP2, LINC01842, LINC01798, LINC01579, ME1, MEGF11, LINC01357, MEOX2, LINC01277, MGAT4C, LINC02055, LINC01241, MIR548XHG, MIR222HG, PTPN14, OTP, TAFA2, TG, TENT5A, TENM2, TEK, TDO2, TBX19, TAPT1-AS1, SYTL3, THSD4, SYT1, SULF1, SUCLG2-AS1, STAT4, STARD13, STAC, SPRY4-AS1, TGM2, TLR2, SPATA48, VEGFD, WWTR1, WIPF1, WDR49, VSTM2A-OT1, VSTM2A, VSIG4, VLDLR-AS1, UTY, TMEM164, UNC5C, UNC13C, TRPV4, TRPM8, TRPM3, TRIM22, TMEM63A, SPINK5, SPAG17, PCA3, POSTN, RARRES1, PTPRR, LINC00158, PTCHD4, PTCHD1-AS, PRSS48, POU6F2, PLIN2, RNF6, PLAC1, PKD1L1, PIP5K1B, PGLYRP1, PDE1C, PCED1B, PCDH11Y, RASSF8, RREB1, SORCS1, SLC18A1, SOCS2-AS1, SNTG1, SMOC2, SLIT2, SLCO1B1, SLC35G1, SLC35E4, SLC10A6, RUNX1T1, SIDT1, SHOC1, SAPCD2, SAMD3, SAA1, RYR3, RXRG, LINC00278, AC002074.1, LGALS1, AL117329.1, ADAMTS3, ADAMTS14, ACOXL, AC244472.1, AC138409.3, AC124947.1, AC122697.1, AC117464.1, AC114689.3, AC110023.1, AC106845.1, AC097518.2, AC097462.3, AC093535.1, AC093523.1, AC092958.2, AC092957.1, AGMO, AL121904.2, AC092131.1, AL132633.1, AP000446.1, ALPK2, ALDH1A2, AL732509.1, AL590608.1, AL589935.1, AL512452.1, AL392086.3, AL360178.1, AL354696.2, AL163636.1, AL158195.1, AL158058.1, AL157911.1, AL138824.1, AL137139.2, AL136038.5, AC092819.3, AC091078.1, AP002495.1, AC023095.1, AC022325.2, AC018616.1, AC012404.1, AC012063.1, AC011246.1, AC009646.2, AC008080.4, AC007681.1, AC007389.1, AC007364.1, AC006994.2, AC006387.1, AC006206.2, AC006041.2, AC005162.3, AC004943.2, AC004879.1, AC023051.1, AC024145.1, AC090578.1, AC026202.2, AC090403.1, AC090337.2, AC087627.1, AC087473.1, AC079950.1, AC079763.1, AC079465.1, AC079298.3, AC073529.1, AC073050.1, AC072062.1, AC068305.2, AC067956.1, AC062022.2, AC051619.6, AC040174.1, AC027097.2, AP001025.1, AP002813.1, LCP2, GPC3, GNA14, GLRA2, GDNF-AS1, GCNT2, FYB1, FXN, FRG1-DT, FRAS1, FHIT, FAR2, FAP, FAM189A1, FAAH2, ERI2, EPSTI1, EPHA3, EPB41L4A, GNGT1, GREB1L, EMILIN2, GRIN2B, LANCL3, KREMEN1, KCNMB4, KCNE4, ITK, ITGAL, INPP5D, IL7, IL12RB2, IGSF10, IAPP, HS3ST3A1, HRH1, AC002429.2, HMGB2, HMGA2, GRIP2, ENOX2, ELDR, AP003066.1, CFAP77, CERNA2, CDH18, CDH13, CD247, CASC9, C9orf153, C9orf147, BX284613.2, BIRC3, BEND6, BCL2L14, ATP8B4, ASB18, ARSJ, ARRDC3-AS1, ARHGAP11B, APBB1IP, CFAP47, CFH, EDN1, CGNL1, EBF2, DOCK5, DNAH3, DIPK2A, DANT2, CPNE4, COX8A, COL4A6, COL19A1, COL12A1, COBLL1, CNTNAP3B, CNDP1, CNBD1, CHRM3, CHODL, CHL1-AS2, HNF4G
OPC-NPC-like	SLIT3, CA8, ARX, AC109492.1, AL078602.1, DLX5, AC006296.3, DLX6, RFTN2, DLX6-AS1, AC090241.2, PDZRN3, GLI2, TBL1X, KCNH8, ST8SIA5, LRGUK, TPGS2, LINC02487, DACH2, SOX2-OT, KIAA0040, FCGBP, LINC00326, AC022075.1, AC125613.1, MCUB, EPHA7, PLS3, SLC6A5, CRYBG3, LINC01748, TENM1, LINC00535, ABTB2, MAN2A1, LAMP5, MOG, KITLG, ZNF618, PIP5K1B, AC005162.3, AC017053.1, FAM149A, CRB1, ERBB3, EPB41L4A, STC1, PID1, EGFR, RPL18A, SPHKAP, AL512308.1, LGALS1, RPL10, CADM2, CASC6, TMTC2, GRK5, FREM2, RPL8, MDK, RPS18, CCDC178, CDCA7, CASP9, GALP, CNGA3, MAP3K20, ADAM28, COLGALT2, LINC00689, DLL1, CCND2, RPL13A, DGKB, RPL36, DCT, CELF4, LINC01949, DAPL1, RPL7, LINC01324, CNDP1, RPL32, RPL41, RPL34, MRC1, LINC00299, PEX5L, GRIN3A, GRAMD1B, GPR153, HIST1H2BD, NTNG2, MEIS2, PAPSS2, PAX3, PCP4, PCSK2, ISG15, GAD2, FLRT2, LGR5, PLA2G4A, KCNN1, PPFIBP1, MALAT1, LRTM1, EPCAM-DT, PRRX1, H2AFY2, EFHD2, EBF2, RASGEF1C, RELN, EFNA5, RPL28, CACNA2D2, AGMO, BCAS1, SIPA1L2, SLAIN1, SLC4A11, SLC9B1, AP002026.1, ST6GALNAC5, AL158038.1, AJAP1, ADARB2, BDNF-AS, AC116049.2, AC109466.1, TOX3, AC087477.2, AC061958.1, UNC5B, AC012485.1, AC007405.1, ZNF727, BCL11B, TFAP2B, BTG2, SAT1, C15orf41
Proliferative	DLGAP5, CKAP2L, CDCA2, CDC25C, TTK, BUB1, HMMR, CDCA8, TOP2A, GTSE1, KIF23, BUB1B, ASPM, AURKA, KIF14, CEP55, KIF18A, CDK1, TROAP, DEPDC1, CENPE, TPX2, KIF2C, KNL1, KIF20A, AURKB, NEIL3, CCNB1, ESPL1, APOLD1, HJURP, PIMREG, KIF11, PIF1, UBE2C, NDC80, CDC20, PBK, ARHGAP11A, NUSAP1, PRR11, ESCO2, PTTG1, MELK, KIF4A, CDKN3, NMU, BORA, KIF18B, KIFC1, CCNF, BIRC5, MKI67, ARHGAP11B, IQGAP3, NCAPG, SGO1, SKA3, GAS2L3, SGO2, RRM2, DIAPH3, CDCA3, CENPF, FAM83D, NUF2, POLQ, RACGAP1, KPNA2, MIR924HG, FBXO43, TACC3, WDR62, E2F7, PCLAF, ASF1B, ECT2, SHCBP1, PLK1, FAM111B, DEPDC1B, MXD3, NCAPH, PRC1, EXO1, KIF15, FOXM1, CCNB2, RTKN2, NOSTRIN, AC010173.1, SPC25, FOXN4, HMGB2, CKS2, CENPI, BRIP1, MYBL2, LMO7, KIF24, AC073529.1, STIL, AC090159.1, PLK4
Gliosis-hypoxia	ADAM28, LINC02615, POT1-AS1, MET, HILPDA, LUCAT1, PTGS2, RUNX2, SPNS2, PHLDB2, LINC01705, FAM160A1, ERRFI1, FAT4, TNNI3K, TRIB3, NDRG1, AC051619.5, AC083837.1, PRKCH, PPP1R3C, MGAM, ANGPTL4, COL13A1, CHSY3, AP001528.1, CDON, CAV1, SHISA6, SLC39A14, C21orf62-AS1, HMOX1, BNIP3L, LINC01376, ABI3BP, VLDLR-AS1, OLFM1, LTBP2, AHNAK2, NOX4, AC092944.1, COL5A1, PLAG1, GCNT1, AC099681.1, CFAP61, RPL34-AS1, OSMR-AS1, AMPD3, EHHADH, COL24A1, RNF217-AS1, AP006545.3, EPHA1-AS1, EPHA3, ZNF385B, LINC02340, LVRN, PDE4C, GPC5, RCAN2, EPSTI1, AC008014.1, LINC00240, AL158064.1, AL390957.1, MX2, C4orf47, ABLIM3, ITGB3, SCN9A, C9orf153, SLC6A6, NECTIN3-AS1, CALN1, GRK5, CPEB1, CPA4, UNC5C
Proliferative 2	FAM111B, MYBL2, EXO1, ZNF367, BRIP1, CLSPN, CHAF1A, DTL, PCLAF, CHEK1, CDC45, FANCA, MCM6, RRM2, MCM10, ASF1B, CENPU, FANCD2, POLA2, MIR924HG, CCNE2, WDR76, ESCO2, FBLN7, CENPK, NXPH2, MELK, CHAF1B, GRM8, HELLS, POLE2, E2F1, E2F7, DHFR, ABHD3, CDCA7, ASPN, FANCI, RAD18, XRCC2, AC008543.1, GINS1, AL034348.1, BRCA1, BRCA2, SPC24, KIF15, AC011447.3, VRK1, WDHD1, KIF24, XYLB, SKA3, RAB39A, LRRC63, RAD54L, DIAPH3, CGAS, CENPP, SPC25, CENPI, PRIM2, POLQ, KBTBD12, RAD51AP1, AMPH, LIG1, AC007681.1, MCM5, AC130324.2, TNFAIP8, AURKB, DDX11-AS1, SIMC1, MMS22L, MCM4, ATAD2, FANCB, DNA2, AC006115.2, TRPC3, PLD5, PLK4, LIMK2, ESPL1, TP73, ARNTL2, ZNF90, MBNL3, AC004943.2, KIAA0319, COL9A1, MYBL1, NEIL3, WDR62, SDK1, LAMA1, CLN6, PER3, PCNA, CCDC138, ECM2, CAMK4, EFNA5, CD83, REXO5, DDB2, MCM8, KIFC1, CEP152, IQGAP3, AC104073.4, DAPK2, KNTC1, ZGRF1, RFC2, MND1, UHRF1, MBOAT1, SFMBT1, RFC3, CKAP2L, POLA1, KCTD16, ARHGAP11B, BICC1, SVEP1, AP002495.1, FAM189A1, SYK, ORC6, GHR, FOXM1, HMGN2, ZNF730, GLYATL2, ARHGAP19, HMGB2, HESX1, AC009630.1, STAC, PBK, TCF19, MASTL
